Year,DFO,Spring,Fall_lag,CVDFO,CVSpring,CVFall_lag
2010,29451.81017,68751.84038,83489.8905,0.293633372,0.2674,0.2694
2011,12343.64413,29621.0381,27821.29595,0.293578179,0.2255,0.2829
2012,18112.60575,46208.8096,30354.2879,0.355611015,0.4548,0.2641
2013,2248.538223,12766.34774,31198.50257,0.328443146,0.2182,0.4592
2014,1653.926051,8564.164589,10827.61059,0.337394449,0.1748,0.3685
2015,2650.029422,5861.187787,12681.90902,0.366522412,0.1887,0.3338
2016,5568.961893,3610.497421,5810.881651,0.6076087,0.2522,0.6186
2017,1103.858762,2819.432321,5431.679141,0.469044208,0.2153,0.3609
2018,812.2172235,142.5920021,2423.689508,0.377676509,0.6322,0.3548
2019,182.341663,3735.356725,6046.846082,0.38066758,0.5164,0.5961
