"Scenario","Year","Catch"
"orig",2019,1843.34505989357
"orig",2020,1398.07002137947
"orig",2021,1187.10051819641
"orig.SSBrhoadj",2019,586.222778808378
"orig.SSBrhoadj",2020,490.902255109247
"orig.SSBrhoadj",2021,594.579884449267
"orig.NAArhoadj",2019,548.8896119571
"orig.NAArhoadj",2020,499.959965242836
"orig.NAArhoadj",2021,599.61098770447
"01_Sudden Cmults",2019,111.049807577966
"02_Ramp4 Cmults",2019,116.688648120694
"03_Ramp9 Cmults",2019,112.682693654959
"04_Sudden Mmults",2019,392.193671314995
"05_Ramp4 Mmults",2019,361.660019485781
"06_Ramp9 Mmults",2019,480.374489506351
"07_Old Sudden Mmults",2019,796.571574587186
"08_Old Ramp4 Mmults",2019,728.903916131018
"09_Old Ramp9 Mmults",2019,790.311779760573
"10_Young Sudden Mmults",2019,6.30696122622632
"11_Young Ramp4 Mmults",2019,252.002422435819
"12_Young Ramp9 Mmults",2019,217.97321388231
"01_Sudden Cmults",2020,104.696187980037
"02_Ramp4 Cmults",2020,109.625142595733
"03_Ramp9 Cmults",2020,105.507150533093
"04_Sudden Mmults",2020,375.314498010017
"05_Ramp4 Mmults",2020,360.072354723319
"06_Ramp9 Mmults",2020,488.779405864083
"07_Old Sudden Mmults",2020,914.070636661301
"08_Old Ramp4 Mmults",2020,839.654618575528
"09_Old Ramp9 Mmults",2020,907.62412115665
"10_Young Sudden Mmults",2020,3.15121404904299
"11_Young Ramp4 Mmults",2020,138.896592856302
"12_Young Ramp9 Mmults",2020,136.810440774689
"01_Sudden Cmults",2021,122.46749263304
"02_Ramp4 Cmults",2021,126.800472503107
"03_Ramp9 Cmults",2021,122.50665372588
"04_Sudden Mmults",2021,599.329538606896
"05_Ramp4 Mmults",2021,595.395919434479
"06_Ramp9 Mmults",2021,793.207691390254
"07_Old Sudden Mmults",2021,1331.48191985575
"08_Old Ramp4 Mmults",2021,1223.55812046077
"09_Old Ramp9 Mmults",2021,1324.01757566087
"10_Young Sudden Mmults",2021,3.42965869316252
"11_Young Ramp4 Mmults",2021,197.076091447565
"12_Young Ramp9 Mmults",2021,203.950777834067
"Rose",2019,363.893266473657
"Rose",2020,373.683530314983
"Rose",2021,553.601826020486
