"Scenario","Metric","SSB","F"
"orig","Terminal",3152.809,0.01974118
"orig.rhoadj","Terminal",1002.66005168819,0.0504529068364023
"orig","Target",10177.3369168884,0.997132848753702
"orig.rhoadj","Target",10177.3369168884,0.997132848753702
"orig","Ratio",0.309787228795403,0.0197979436989506
"orig.rhoadj","Ratio",0.0985189013468118,0.0505979788946502
"01_Sudden Cmults","Terminal",1881.201,0.395988
"02_Ramp4 Cmults","Terminal",1761.595,0.38643
"03_Ramp9 Cmults","Terminal",1894.989,0.401876
"04_Sudden Mmults","Terminal",914.0925,0.08191162
"05_Ramp4 Mmults","Terminal",867.4747,0.08100535
"06_Ramp9 Mmults","Terminal",1127.652,0.07477011
"07_Old Sudden Mmults","Terminal",1673.708,0.04443441
"08_Old Ramp4 Mmults","Terminal",1528.066,0.04880934
"09_Old Ramp9 Mmults","Terminal",1661.924,0.04467228
"10_Young Sudden Mmults","Terminal",39.07817,1.805656
"11_Young Ramp4 Mmults","Terminal",600.6889,0.1750183
"12_Young Ramp9 Mmults","Terminal",784.9186,0.2311995
"01_Sudden Cmults","Target",11238.8949519611,1.22171057998411
"02_Ramp4 Cmults","Target",10816.7668992283,1.25467757352311
"03_Ramp9 Cmults","Target",11011.2777018592,1.27495234550575
"04_Sudden Mmults","Target",13781.8801808662,1.11876269081302
"05_Ramp4 Mmults","Target",12078.7915279174,0.998024694995108
"06_Ramp9 Mmults","Target",32493.6881050272,1.24374936557748
"07_Old Sudden Mmults","Target",18566.4395137529,1.0555942199851
"08_Old Ramp4 Mmults","Target",15711.8170316161,1.06000501637608
"09_Old Ramp9 Mmults","Target",18226.7934212351,1.05283275081008
"10_Young Sudden Mmults","Target",11941.9976684175,1.55015468285529
"11_Young Ramp4 Mmults","Target",88844.58848726,1.93060142584673
"12_Young Ramp9 Mmults","Target",632837.521688292,2.25868100612351
"01_Sudden Cmults","Ratio",0.167383093092416,0.324125866213871
"02_Ramp4 Cmults","Ratio",0.16285781291318,0.307991477774574
"03_Ramp9 Cmults","Ratio",0.172095287332553,0.315208644006676
"04_Sudden Mmults","Ratio",0.066325674581692,0.0732162599563215
"05_Ramp4 Mmults","Ratio",0.0718180041434633,0.0811656769679402
"06_Ramp9 Mmults","Ratio",0.0347037245004373,0.0601167020216198
"07_Old Sudden Mmults","Ratio",0.0901469556809865,0.0420942149537605
"08_Old Ramp4 Mmults","Ratio",0.0972558423335221,0.046046329258769
"09_Old Ramp9 Mmults","Ratio",0.0911802729965534,0.0424305569575299
"10_Young Sudden Mmults","Ratio",0.00327233106931083,1.16482311086149
"11_Young Ramp4 Mmults","Ratio",0.00676111972859367,0.0906548071791875
"12_Young Ramp9 Mmults","Ratio",0.00124031615240826,0.102360403869867
"Rose","Ratio",0.0804200362104265,0.2208528375018
"Rose","Target",73129.2047647861,1.33497886269962
"Rose","Terminal",1227.94898916667,0.3143142425
