"Scenario","Metric","SSB","F"
"orig","Terminal",20756.96,0.1065155
"orig.rhoadj","Terminal",16692.0186431395,0.13110784021675
"orig","Target",27329.8204244296,0.199169578771464
"orig.rhoadj","Target",27329.8204244296,0.199169578771464
"orig","Ratio",0.759498587171313,0.534798038219584
"orig.rhoadj","Ratio",0.610762104686895,0.658272418034224
"CmultSudden2000","Terminal",15710.39,0.4207471
"CmultSudden2005","Terminal",12254.85,0.4684721
"CmultSudden2010","Terminal",11666.8,0.4875117
"CmultSudden2015","Terminal",12814.65,0.7753831
"CmultRamp42000","Terminal",17747.48,0.4148641
"CmultRamp42005","Terminal",13348.23,0.4460276
"CmultRamp42010","Terminal",11673.78,0.4914554
"CmultRamp42015","Terminal",11713.03,0.6012265
"CmultRamp92000","Terminal",23715.85,0.3912581
"CmultRamp92005","Terminal",15182.95,0.4413624
"CmultRamp92010","Terminal",12440.02,0.4597411
"CmultRamp92015","Terminal",11483.19,0.5485214
"Mmult All AgesSudden2000","Terminal",11076.98,0.2433674
"Mmult All AgesSudden2005","Terminal",11419.63,0.223693
"Mmult All AgesSudden2010","Terminal",11293.12,0.2209051
"Mmult All AgesSudden2015","Terminal",10304.27,0.2448314
"Mmult All AgesRamp42000","Terminal",11568.45,0.2325808
"Mmult All AgesRamp42005","Terminal",11561.19,0.2231701
"Mmult All AgesRamp42010","Terminal",11765.18,0.211871
"Mmult All AgesRamp42015","Terminal",11017.52,0.2258055
"Mmult All AgesRamp92000","Terminal",11387.85,0.2436902
"Mmult All AgesRamp92005","Terminal",11075.13,0.2418487
"Mmult All AgesRamp92010","Terminal",11656.57,0.2174791
"Mmult All AgesRamp92015","Terminal",11064.04,0.2272468
"Mmult Old AgesSudden2000","Terminal",13025.88,0.1995211
"Mmult Old AgesSudden2005","Terminal",12556.36,0.2040097
"Mmult Old AgesSudden2010","Terminal",12372.89,0.2024185
"Mmult Old AgesSudden2015","Terminal",10082.82,0.2602983
"Mmult Old AgesRamp42000","Terminal",13413.65,0.1935586
"Mmult Old AgesRamp42005","Terminal",12899.77,0.1988977
"Mmult Old AgesRamp42010","Terminal",12366.39,0.2046425
"Mmult Old AgesRamp42015","Terminal",11526.11,0.2200983
"Mmult Old AgesRamp92000","Terminal",13816.47,0.1872831
"Mmult Old AgesRamp92005","Terminal",13327.11,0.1921778
"Mmult Old AgesRamp92010","Terminal",12649.33,0.2012726
"Mmult Old AgesRamp92015","Terminal",12034.39,0.2104389
"Mmult Young AgesSudden2000","Terminal",7893.376,0.358783
"Mmult Young AgesSudden2005","Terminal",8462.794,0.3066063
"Mmult Young AgesSudden2010","Terminal",6960.566,0.3614393
"Mmult Young AgesSudden2015","Terminal",17206.03,0.1280229
"Mmult Young AgesRamp42000","Terminal",7786.856,0.3751387
"Mmult Young AgesRamp42005","Terminal",8159.066,0.3286108
"Mmult Young AgesRamp42010","Terminal",8137.48,0.3112895
"Mmult Young AgesRamp42015","Terminal",11867.96,0.1928324
"Mmult Young AgesRamp92000","Terminal",8148.962,0.3599553
"Mmult Young AgesRamp92005","Terminal",8043.651,0.3452709
"Mmult Young AgesRamp92010","Terminal",8142.708,0.3207045
"Mmult Young AgesRamp92015","Terminal",7907.427,0.3122307
"CmultSudden2000","Target",34011.611774796,0.217863481057097
"CmultSudden2005","Target",29962.457503967,0.221887415329342
"CmultSudden2010","Target",28194.411135961,0.218627807187394
"CmultSudden2015","Target",27755.9462823974,0.210780911588207
"CmultRamp42000","Target",36612.6570627119,0.218136996527467
"CmultRamp42005","Target",30889.2177802133,0.221050376468796
"CmultRamp42010","Target",29032.4250757347,0.220427399456663
"CmultRamp42015","Target",27707.2236868898,0.216316922554482
"CmultRamp92000","Target",46837.7878033708,0.217001476523141
"CmultRamp92005","Target",33821.2065310714,0.220330557743955
"CmultRamp92010","Target",30036.7563285899,0.22134630536604
"CmultRamp92015","Target",28406.9820493485,0.21964178354007
"Mmult All AgesSudden2000","Target",31670.9321286604,0.234075995301154
"Mmult All AgesSudden2005","Target",29887.3978507874,0.223480498234543
"Mmult All AgesSudden2010","Target",28151.7787951127,0.216070431610796
"Mmult All AgesSudden2015","Target",28662.382282178,0.208610610465751
"Mmult All AgesRamp42000","Target",32774.6450573241,0.234519908979399
"Mmult All AgesRamp42005","Target",30431.8509898757,0.22627102030862
"Mmult All AgesRamp42010","Target",28546.627770476,0.217909624245609
"Mmult All AgesRamp42015","Target",27901.1626659268,0.211862958962319
"Mmult All AgesRamp92000","Target",34111.3675894389,0.239215431603954
"Mmult All AgesRamp92005","Target",31522.5387243819,0.232593178235062
"Mmult All AgesRamp92010","Target",29854.2320949145,0.222075171354613
"Mmult All AgesRamp92015","Target",28350.8140418667,0.216712844896056
"Mmult Old AgesSudden2000","Target",29886.6114990781,0.22180304366203
"Mmult Old AgesSudden2005","Target",29093.0089600738,0.219108194024702
"Mmult Old AgesSudden2010","Target",28395.0148568327,0.213630387077518
"Mmult Old AgesSudden2015","Target",27867.5460106341,0.210299975859836
"Mmult Old AgesRamp42000","Target",30212.998935674,0.222029134358546
"Mmult Old AgesRamp42005","Target",29369.8898613624,0.219842520875161
"Mmult Old AgesRamp42010","Target",28771.8577005647,0.215998475821279
"Mmult Old AgesRamp42015","Target",28102.2567982305,0.211782928844331
"Mmult Old AgesRamp92000","Target",30665.3441689093,0.22167482667492
"Mmult Old AgesRamp92005","Target",29700.0699407925,0.219825509867527
"Mmult Old AgesRamp92010","Target",29073.1657698155,0.217716592812821
"Mmult Old AgesRamp92015","Target",28499.15048093,0.214143269191217
"Mmult Young AgesSudden2000","Target",41327.3983003806,0.245179098122843
"Mmult Young AgesSudden2005","Target",35786.5603961622,0.230032455176852
"Mmult Young AgesSudden2010","Target",36676.3342925863,0.221755199123396
"Mmult Young AgesSudden2015","Target",30383.517478636,0.198433907449396
"Mmult Young AgesRamp42000","Target",47471.4152750023,0.249103828263763
