"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho","absssbrho","Multiplier","case","ramplab","scenlab"
"Sudden Mmults",2000,0,1,0.19,"All Ages",1,-0.000995550062086372,0.000995550062086372,0.19,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2005,0,1,0.3,"All Ages",1,0.00056524061728907,0.00056524061728907,0.3,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2010,0,1,0.28,"All Ages",1,0.000704741323690571,0.000704741323690571,0.28,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Ramp4 Mmults",2000,4,1,0.13,"All Ages",1,-0.000367570875817461,0.000367570875817461,0.13,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2005,4,1,0.26,"All Ages",1,0.00148596449987241,0.00148596449987241,0.26,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2010,4,1,0.31,"All Ages",1,-0.000755872277675083,0.000755872277675083,0.31,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2015,4,1,0.1,"All Ages",1,-0.0233754866311337,0.0233754866311337,0.1,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp9 Mmults",2000,9,1,0.1,"All Ages",1,-0.013424341835918,0.013424341835918,0.1,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2005,9,1,0.2,"All Ages",1,0.000603650922174412,0.000603650922174412,0.2,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2010,9,1,0.29,"All Ages",1,-0.000521841174366978,0.000521841174366978,0.29,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2015,9,1,0.19,"All Ages",1,-0.000164821845612874,0.000164821845612874,0.19,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
