"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho","absssbrho","Multiplier","case","ramplab","scenlab"
"Sudden Cmults",2000,0,2.6,1,"All Ages",1,0.002031043,0.002031043,2.6,"Cmult","Sudden","Cmult Sudden"
"Sudden Cmults",2005,0,2.2,1,"All Ages",1,-0.005749937,0.005749937,2.2,"Cmult","Sudden","Cmult Sudden"
"Sudden Cmults",2010,0,2.2,1,"All Ages",1,0.012639401,0.012639401,2.2,"Cmult","Sudden","Cmult Sudden"
"Sudden Cmults",2015,0,3.8,1,"All Ages",1,-0.000738192,0.000738192,3.8,"Cmult","Sudden","Cmult Sudden"
"Ramp4 Cmults",2000,4,2.9,1,"All Ages",1,-0.000371492,0.000371492,2.9,"Cmult","Ramp4","Cmult Ramp4"
"Ramp4 Cmults",2005,4,2.3,1,"All Ages",1,0.005353923,0.005353923,2.3,"Cmult","Ramp4","Cmult Ramp4"
"Ramp4 Cmults",2010,4,2.2,1,"All Ages",1,-0.012861939,0.012861939,2.2,"Cmult","Ramp4","Cmult Ramp4"
"Ramp4 Cmults",2015,4,2.7,1,"All Ages",1,0.008507758,0.008507758,2.7,"Cmult","Ramp4","Cmult Ramp4"
"Ramp9 Cmults",2000,9,3.7,1,"All Ages",1,-0.002507874,0.002507874,3.7,"Cmult","Ramp9","Cmult Ramp9"
"Ramp9 Cmults",2005,9,2.6,1,"All Ages",1,-0.00524844,0.00524844,2.6,"Cmult","Ramp9","Cmult Ramp9"
"Ramp9 Cmults",2010,9,2.2,1,"All Ages",1,0.009342529,0.009342529,2.2,"Cmult","Ramp9","Cmult Ramp9"
"Ramp9 Cmults",2015,9,2.4,1,"All Ages",1,-0.013118457,0.013118457,2.4,"Cmult","Ramp9","Cmult Ramp9"
"Sudden Mmults",2000,0,1,1.7,"All Ages",1,-0.000890217,0.000890217,1.7,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2005,0,1,1.6,"All Ages",1,0.008972259,0.008972259,1.6,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2010,0,1,1.7,"All Ages",1,-0.004247748,0.004247748,1.7,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2015,0,1,2.6,"All Ages",1,0.001866134,0.001866134,2.6,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Ramp4 Mmults",2000,4,1,1.7,"All Ages",1,0.011206978,0.011206978,1.7,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2005,4,1,1.6,"All Ages",1,0.017365198,0.017365198,1.6,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2010,4,1,1.6,"All Ages",1,0.015671027,0.015671027,1.6,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
