"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho","absssbrho","Multiplier","case","ramplab","scenlab"
"Sudden Cmults",2000,0,6,1,"All Ages",1,0.000113515873915045,0.000113515873915045,6,"Cmult","Sudden","Cmult Sudden"
"Sudden Cmults",2005,0,3.3,1,"All Ages",1,-0.0112187078454577,0.0112187078454577,3.3,"Cmult","Sudden","Cmult Sudden"
"Sudden Cmults",2010,0,2.3,1,"All Ages",1,0.00551058720065174,0.00551058720065174,2.3,"Cmult","Sudden","Cmult Sudden"
"Ramp4 Cmults",2000,4,8.3,1,"All Ages",1,0.000453181905332376,0.000453181905332376,8.3,"Cmult","Ramp4","Cmult Ramp4"
"Ramp4 Cmults",2005,4,4.1,1,"All Ages",1,-0.00186408608231393,0.00186408608231393,4.1,"Cmult","Ramp4","Cmult Ramp4"
"Ramp4 Cmults",2010,4,2.5,1,"All Ages",1,-0.00340561497055957,0.00340561497055957,2.5,"Cmult","Ramp4","Cmult Ramp4"
"Ramp9 Cmults",2005,9,5.7,1,"All Ages",1,0.00150464275701426,0.00150464275701426,5.7,"Cmult","Ramp9","Cmult Ramp9"
"Ramp9 Cmults",2010,9,3,1,"All Ages",1,0.0117167229607524,0.0117167229607524,3,"Cmult","Ramp9","Cmult Ramp9"
"Sudden Mmults",1995,0,1,3.4,"All Ages",1,0.00215516041103436,0.00215516041103436,3.4,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2000,0,1,2.8,"All Ages",1,-0.0100338448526398,0.0100338448526398,2.8,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2005,0,1,2.4,"All Ages",1,-0.0127361638551434,0.0127361638551434,2.4,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Sudden Mmults",2010,0,1,2.9,"All Ages",1,-0.00766088371739841,0.00766088371739841,2.9,"Mmult All Ages","Sudden","Mmult All Ages Sudden"
"Ramp4 Mmults",1995,4,1,3.8,"All Ages",1,-0.00595407887566347,0.00595407887566347,3.8,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2000,4,1,3,"All Ages",1,-0.00462242292605653,0.00462242292605653,3,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2005,4,1,2.5,"All Ages",1,-0.00618609429453429,0.00618609429453429,2.5,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp4 Mmults",2010,4,1,2.5,"All Ages",1,-0.00296796316317346,0.00296796316317346,2.5,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp9 Mmults",1995,9,1,4.2,"All Ages",1,0.00196413789925217,0.00196413789925217,4.2,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2000,9,1,3.3,"All Ages",1,-0.000210292906060702,0.000210292906060702,3.3,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2005,9,1,2.7,"All Ages",1,-0.0028693656121322,0.0028693656121322,2.7,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2010,9,1,2.5,"All Ages",1,-0.00620688713528703,0.00620688713528703,2.5,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Old Sudden Mmults",1995,0,1,5.8,"Old",1,-0.000175771276217668,0.000175771276217668,5.8,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Sudden Mmults",2000,0,1,4.8,"Old",1,0.000172312661939208,0.000172312661939208,4.8,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Sudden Mmults",2005,0,1,3.9,"Old",1,0.00192829652143055,0.00192829652143055,3.9,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Sudden Mmults",2010,0,1,3.7,"Old",1,-0.0016893505467318,0.0016893505467318,3.7,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Ramp4 Mmults",1995,4,1,6,"Old",1,0.000787697949489324,0.000787697949489324,6,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp4 Mmults",2000,4,1,5.2,"Old",1,0.000169344407928473,0.000169344407928473,5.2,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp4 Mmults",2005,4,1,4.3,"Old",1,-0.00391240344567048,0.00391240344567048,4.3,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp4 Mmults",2010,4,1,3.6,"Old",1,0.00379653664546497,0.00379653664546497,3.6,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp9 Mmults",1995,9,1,5.9,"Old",1,-0.00013806427752953,0.00013806427752953,5.9,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Old Ramp9 Mmults",2000,9,1,5.6,"Old",1,-0.00052301488700199,0.00052301488700199,5.6,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Old Ramp9 Mmults",2005,9,1,4.7,"Old",1,-0.00258585729244878,0.00258585729244878,4.7,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Old Ramp9 Mmults",2010,9,1,3.9,"Old",1,0.00240610325683618,0.00240610325683618,3.9,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Young Sudden Mmults",1995,0,1,5.4,"Young",1,-0.00110103331611048,0.00110103331611048,5.4,"Mmult Young","Sudden","Mmult Young Sudden"
"Young Sudden Mmults",2000,0,1,4,"Young",1,0.00552950009440629,0.00552950009440629,4,"Mmult Young","Sudden","Mmult Young Sudden"
"Young Sudden Mmults",2005,0,1,3.4,"Young",1,-0.00735377835803956,0.00735377835803956,3.4,"Mmult Young","Sudden","Mmult Young Sudden"
"Young Sudden Mmults",2010,0,1,7.4,"Young",1,0.000430465160195488,0.000430465160195488,7.4,"Mmult Young","Sudden","Mmult Young Sudden"
"Young Ramp4 Mmults",1995,4,1,6.1,"Young",1,0.000649552518396321,0.000649552518396321,6.1,"Mmult Young","Ramp4","Mmult Young Ramp4"
"Young Ramp4 Mmults",2000,4,1,4.5,"Young",1,-0.00520818716075059,0.00520818716075059,4.5,"Mmult Young","Ramp4","Mmult Young Ramp4"
"Young Ramp4 Mmults",2005,4,1,3.5,"Young",1,0.00349215211945919,0.00349215211945919,3.5,"Mmult Young","Ramp4","Mmult Young Ramp4"
"Young Ramp4 Mmults",2010,4,1,4.3,"Young",1,0.00583080402915262,0.00583080402915262,4.3,"Mmult Young","Ramp4","Mmult Young Ramp4"
"Young Ramp9 Mmults",1995,9,1,7,"Young",1,0.00658546136062445,0.00658546136062445,7,"Mmult Young","Ramp9","Mmult Young Ramp9"
