"Scenario","Year","Catch"
"orig",2019,1843.34505989357
"orig",2020,1398.07002137947
"orig",2021,1187.10051819641
"orig.SSBrhoadj",2019,586.222778808378
"orig.SSBrhoadj",2020,490.902255109247
"orig.SSBrhoadj",2021,594.579884449267
"orig.NAArhoadj",2019,548.8896119571
"orig.NAArhoadj",2020,499.959965242836
"orig.NAArhoadj",2021,599.61098770447
"Cmult Sudden 2010",2019,111.049807577966
"Cmult Ramp4 2013",2019,116.688648120694
"Cmult Ramp9 2015",2019,112.682693654959
"Mmult All Ages Sudden 2005",2019,392.193671314995
"Mmult All Ages Ramp4 2010",2019,361.660019485781
"Mmult All Ages Ramp9 2000",2019,480.374489506351
"Mmult Old Sudden 2000",2019,796.571574587186
"Mmult Old Ramp4 2005",2019,728.903916131018
"Mmult Old Ramp9 2005",2019,790.311779760573
"Mmult Young Sudden 2013",2019,6.30696122622632
"Mmult Young Ramp4 2000",2019,252.002422435819
"Mmult Young Ramp9 1995",2019,217.97321388231
"Cmult Sudden 2010",2020,104.696187980037
"Cmult Ramp4 2013",2020,109.625142595733
"Cmult Ramp9 2015",2020,105.507150533093
"Mmult All Ages Sudden 2005",2020,375.314498010017
"Mmult All Ages Ramp4 2010",2020,360.072354723319
"Mmult All Ages Ramp9 2000",2020,488.779405864083
"Mmult Old Sudden 2000",2020,914.070636661301
"Mmult Old Ramp4 2005",2020,839.654618575528
"Mmult Old Ramp9 2005",2020,907.62412115665
"Mmult Young Sudden 2013",2020,3.15121404904299
"Mmult Young Ramp4 2000",2020,138.896592856302
"Mmult Young Ramp9 1995",2020,136.810440774689
"Cmult Sudden 2010",2021,122.46749263304
"Cmult Ramp4 2013",2021,126.800472503107
"Cmult Ramp9 2015",2021,122.50665372588
"Mmult All Ages Sudden 2005",2021,599.329538606896
"Mmult All Ages Ramp4 2010",2021,595.395919434479
"Mmult All Ages Ramp9 2000",2021,793.207691390254
"Mmult Old Sudden 2000",2021,1331.48191985575
"Mmult Old Ramp4 2005",2021,1223.55812046077
"Mmult Old Ramp9 2005",2021,1324.01757566087
"Mmult Young Sudden 2013",2021,3.42965869316252
"Mmult Young Ramp4 2000",2021,197.076091447565
"Mmult Young Ramp9 1995",2021,203.950777834067
"Rose",2019,363.893266473657
"Rose",2020,373.683530314983
"Rose",2021,553.601826020486
