"Scenario","Year","Catch"
"orig",2019,21199.8680457079
"orig",2020,17717.1793857418
"orig",2021,13175.7273865868
"orig.SSBrhoadj",2019,28334.3577309816
"orig.SSBrhoadj",2020,23659.8818884242
"orig.SSBrhoadj",2021,17513.991356221
"orig.NAArhoadj",2019,24257.2818480101
"orig.NAArhoadj",2020,20404.2765383124
"orig.NAArhoadj",2021,15303.4842152797
"Mmult All Ages Sudden 2000",2019,25660.0803831739
"Mmult All Ages Sudden 2005",2019,29124.0536445403
"Mmult All Ages Sudden 2010",2019,34462.139080785
"Mmult All Ages Ramp4 2000",2019,24636.3621150242
"Mmult All Ages Ramp4 2005",2019,27619.2684485216
"Mmult All Ages Ramp4 2010",2019,32024.5548080839
"Mmult All Ages Ramp4 2015",2019,38591.8273167907
"Mmult All Ages Ramp9 2000",2019,23500.1754390196
"Mmult All Ages Ramp9 2005",2019,26134.2180861258
"Mmult All Ages Ramp9 2010",2019,29700.9003209233
"Mmult All Ages Ramp9 2015",2019,35299.1981237572
"Mmult All Ages Sudden 2000",2020,24906.4134568706
"Mmult All Ages Sudden 2005",2020,27671.1677273504
"Mmult All Ages Sudden 2010",2020,33039.3312461801
"Mmult All Ages Ramp4 2000",2020,24214.089978451
"Mmult All Ages Ramp4 2005",2020,26437.4563274739
"Mmult All Ages Ramp4 2010",2020,30466.4364615236
"Mmult All Ages Ramp4 2015",2020,38043.4425191927
"Mmult All Ages Ramp9 2000",2020,23255.0950400548
"Mmult All Ages Ramp9 2005",2020,25322.1023054149
"Mmult All Ages Ramp9 2010",2020,28320.7000679618
"Mmult All Ages Ramp9 2015",2020,34290.9484130799
"Mmult All Ages Sudden 2000",2021,21880.0471558953
"Mmult All Ages Sudden 2005",2021,23750.793072538
"Mmult All Ages Sudden 2010",2021,28163.8256203054
"Mmult All Ages Ramp4 2000",2021,21545.6628750648
"Mmult All Ages Ramp4 2005",2021,22892.134208059
"Mmult All Ages Ramp4 2010",2021,25910.2896163783
"Mmult All Ages Ramp4 2015",2021,33147.5440996928
"Mmult All Ages Ramp9 2000",2021,20822.1966166197
"Mmult All Ages Ramp9 2005",2021,22195.7565581021
"Mmult All Ages Ramp9 2010",2021,24264.5472642314
"Mmult All Ages Ramp9 2015",2021,29633.8887062882
"Rose",2019,29704.797978795
"Rose",2020,28724.2894130503
"Rose",2021,24927.8805266523
