"Scenario","Year","Catch"
"orig",2016,1160.6050201178
"orig",2017,1394.82068598232
"orig",2018,1642.58444463655
"orig.SSBrhoadj",2016,746.441213875209
"orig.SSBrhoadj",2017,898.00571596631
"orig.SSBrhoadj",2018,1060.42078511899
"orig.NAArhoadj",2016,753.698033209219
"orig.NAArhoadj",2017,935.151210227965
"orig.NAArhoadj",2018,1122.05877498085
"Cmult Sudden 2000",2016,440.312952241489
"Cmult Sudden 2005",2016,433.886411282838
"Cmult Sudden 2010",2016,450.125335625792
"Cmult Ramp4 2000",2016,440.277094938856
"Cmult Ramp4 2005",2016,441.747373758862
"Cmult Ramp4 2010",2016,453.146650130665
"Cmult Ramp9 2005",2016,440.219742439879
"Cmult Ramp9 2010",2016,463.003703949881
"Mmult All Ages Sudden 1995",2016,821.523591356657
"Mmult All Ages Sudden 2000",2016,695.680027808247
"Mmult All Ages Sudden 2005",2016,594.965158560155
"Mmult All Ages Sudden 2010",2016,388.710426251793
"Mmult All Ages Ramp4 1995",2016,893.79850729349
"Mmult All Ages Ramp4 2000",2016,740.345996828086
"Mmult All Ages Ramp4 2005",2016,636.024471142884
"Mmult All Ages Ramp4 2010",2016,506.810828687233
"Mmult All Ages Ramp9 1995",2016,1171.20033127057
"Mmult All Ages Ramp9 2000",2016,802.292360455512
"Mmult All Ages Ramp9 2005",2016,679.511891743478
"Mmult All Ages Ramp9 2010",2016,564.741496908723
"Mmult Old Sudden 1995",2016,1106.61957810443
"Mmult Old Sudden 2000",2016,955.681663253178
"Mmult Old Sudden 2005",2016,783.939294434675
"Mmult Old Sudden 2010",2016,643.952672087772
"Mmult Old Ramp4 1995",2016,1314.29903021865
"Mmult Old Ramp4 2000",2016,1013.46385434712
"Mmult Old Ramp4 2005",2016,847.213103252299
"Mmult Old Ramp4 2010",2016,705.01665280914
"Mmult Old Ramp9 1995",2016,2516.3532078568
"Mmult Old Ramp9 2000",2016,1123.24649352993
"Mmult Old Ramp9 2005",2016,929.135691461588
"Mmult Old Ramp9 2010",2016,757.883489060999
"Mmult Young Sudden 1995",2016,581.523502753257
"Mmult Young Sudden 2000",2016,564.207229123188
"Mmult Young Sudden 2005",2016,505.022112730994
"Mmult Young Sudden 2010",2016,79.9787832881834
"Mmult Young Ramp4 1995",2016,598.046841885483
"Mmult Young Ramp4 2000",2016,562.587842749085
"Mmult Young Ramp4 2005",2016,541.600971977284
"Mmult Young Ramp4 2010",2016,319.997915413765
"Mmult Young Ramp9 1995",2016,629.461935792165
"Mmult Young Ramp9 2000",2016,580.078489829834
"Mmult Young Ramp9 2005",2016,552.644978064627
"Mmult Young Ramp9 2010",2016,439.906916110354
"Cmult Sudden 2000",2017,581.041526856662
"Cmult Sudden 2005",2017,571.665398012784
"Cmult Sudden 2010",2017,588.769672587537
"Cmult Ramp4 2000",2017,582.625678508166
"Cmult Ramp4 2005",2017,581.411750147285
"Cmult Ramp4 2010",2017,593.319243861628
"Cmult Ramp9 2005",2017,581.508886140522
"Cmult Ramp9 2010",2017,606.359626394915
"Mmult All Ages Sudden 1995",2017,872.749584842531
"Mmult All Ages Sudden 2000",2017,753.907499020116
"Mmult All Ages Sudden 2005",2017,658.705623863998
"Mmult All Ages Sudden 2010",2017,402.762786410469
"Mmult All Ages Ramp4 1995",2017,936.832986622506
"Mmult All Ages Ramp4 2000",2017,795.724882305932
"Mmult All Ages Ramp4 2005",2017,699.896643310252
"Mmult All Ages Ramp4 2010",2017,550.967671972097
"Mmult All Ages Ramp9 1995",2017,1194.82342023066
"Mmult All Ages Ramp9 2000",2017,852.892542018193
"Mmult All Ages Ramp9 2005",2017,739.420809030845
"Mmult All Ages Ramp9 2010",2017,617.979195990985
"Mmult Old Sudden 1995",2017,1178.30010325564
"Mmult Old Sudden 2000",2017,1025.25667808052
"Mmult Old Sudden 2005",2017,856.431317181483
"Mmult Old Sudden 2010",2017,717.437393003834
"Mmult Old Ramp4 1995",2017,1384.2150132108
"Mmult Old Ramp4 2000",2017,1083.60103192063
"Mmult Old Ramp4 2005",2017,916.031508136351
"Mmult Old Ramp4 2010",2017,781.779717231629
"Mmult Old Ramp9 1995",2017,2564.38076006526
"Mmult Old Ramp9 2000",2017,1192.56607588303
"Mmult Old Ramp9 2005",2017,997.024149646311
"Mmult Old Ramp9 2010",2017,829.572629001933
"Mmult Young Sudden 1995",2017,691.560333312691
