"Peel","Year","metric","value"
0,1973,"SSB",19661.35
0,1974,"SSB",12971.57
0,1975,"SSB",8695.266
0,1976,"SSB",9346.557
0,1977,"SSB",7282.925
0,1978,"SSB",4303.976
0,1979,"SSB",8145.828
0,1980,"SSB",12509.37
0,1981,"SSB",12558.37
0,1982,"SSB",13282.61
0,1983,"SSB",10014.08
0,1984,"SSB",3325.283
0,1985,"SSB",2466.951
0,1986,"SSB",3351.441
0,1987,"SSB",3073.784
0,1988,"SSB",2873.538
0,1989,"SSB",4908.217
0,1990,"SSB",4648.972
0,1991,"SSB",3445.383
0,1992,"SSB",4453.247
0,1993,"SSB",4323.107
0,1994,"SSB",3979.051
0,1995,"SSB",4756.808
0,1996,"SSB",7197.188
0,1997,"SSB",8408.93
0,1998,"SSB",9772.564
0,1999,"SSB",13766.77
0,2000,"SSB",14340.46
0,2001,"SSB",12192.44
0,2002,"SSB",11929.55
0,2003,"SSB",10887.63
0,2004,"SSB",6780.561
0,2005,"SSB",4485.235
0,2006,"SSB",3429.208
0,2007,"SSB",3903.538
0,2008,"SSB",4589.119
0,2009,"SSB",4429.342
0,2010,"SSB",3732.808
0,2011,"SSB",3367.704
0,2012,"SSB",2960.941
0,2013,"SSB",2780.258
0,2014,"SSB",3261.701
0,2015,"SSB",3444.564
0,2016,"SSB",3370.981
0,2017,"SSB",3156.272
0,2018,"SSB",3152.809
0,1973,"F",0.8738652
0,1974,"F",1.227148
0,1975,"F",1.78294
0,1976,"F",1.580417
0,1977,"F",1.482465
0,1978,"F",1.393355
0,1979,"F",0.8131612
0,1980,"F",0.6238879
0,1981,"F",0.563983
0,1982,"F",0.9267617
0,1983,"F",1.213313
0,1984,"F",1.840927
0,1985,"F",1.228754
0,1986,"F",0.9949747
0,1987,"F",1.21303
0,1988,"F",0.9247243
0,1989,"F",0.352711
0,1990,"F",0.881974
0,1991,"F",0.6872227
0,1992,"F",1.115416
0,1993,"F",0.8453828
0,1994,"F",0.9311322
0,1995,"F",0.3836101
0,1996,"F",0.3433504
0,1997,"F",0.4066112
0,1998,"F",0.6022411
0,1999,"F",0.5595089
0,2000,"F",0.7730289
0,2001,"F",0.8913531
0,2002,"F",0.7131644
0,2003,"F",0.902614
0,2004,"F",1.47284
0,2005,"F",1.299192
0,2006,"F",0.9377036
0,2007,"F",0.7011262
0,2008,"F",0.7817343
0,2009,"F",0.8299622
0,2010,"F",0.5867324
0,2011,"F",0.6501685
0,2012,"F",0.4282778
0,2013,"F",0.1229908
0,2014,"F",0.07652124
0,2015,"F",0.05181474
