"Peel","Year","metric","value"
0,1977,"SSB",9715.687
0,1978,"SSB",13725.51
0,1979,"SSB",15504.72
0,1980,"SSB",14876.41
0,1981,"SSB",14750.4
0,1982,"SSB",14389.9
0,1983,"SSB",10928.54
0,1984,"SSB",7308.442
0,1985,"SSB",5357.776
0,1986,"SSB",2988.368
0,1987,"SSB",1522.06
0,1988,"SSB",1095.735
0,1989,"SSB",799.1917
0,1990,"SSB",835.0264
0,1991,"SSB",723.3022
0,1992,"SSB",678.9262
0,1993,"SSB",730.8289
0,1994,"SSB",1221.471
0,1995,"SSB",2201.126
0,1996,"SSB",3569.249
0,1997,"SSB",5388.997
0,1998,"SSB",6708.428
0,1999,"SSB",6923.919
0,2000,"SSB",8440.041
0,2001,"SSB",13801.73
0,2002,"SSB",16665.88
0,2003,"SSB",14437.79
0,2004,"SSB",12496.49
0,2005,"SSB",10904.64
0,2006,"SSB",10549.91
0,2007,"SSB",9474.786
0,2008,"SSB",8121.324
0,2009,"SSB",7119.334
0,2010,"SSB",5927.604
0,2011,"SSB",5019.466
0,2012,"SSB",6214.596
0,2013,"SSB",9962.512
0,2014,"SSB",15574.79
0,2015,"SSB",34225.63
0,2016,"SSB",58404.22
0,2017,"SSB",65396.67
0,2018,"SSB",63142.59
0,1977,"F",0.5461943
0,1978,"F",0.6226249
0,1979,"F",0.5041898
0,1980,"F",0.7229373
0,1981,"F",0.6219484
0,1982,"F",0.6943807
0,1983,"F",1.113016
0,1984,"F",0.8702758
0,1985,"F",1.095057
0,1986,"F",1.613226
0,1987,"F",0.9292059
0,1988,"F",0.7620036
0,1989,"F",0.6090272
0,1990,"F",1.102013
0,1991,"F",1.234739
0,1992,"F",1.192488
0,1993,"F",0.6947302
0,1994,"F",0.3698777
0,1995,"F",0.5601973
0,1996,"F",0.237723
0,1997,"F",0.4000911
0,1998,"F",0.2785949
0,1999,"F",0.1688267
0,2000,"F",0.250013
0,2001,"F",0.1749515
0,2002,"F",0.1558869
0,2003,"F",0.1587619
0,2004,"F",0.1519622
0,2005,"F",0.232578
0,2006,"F",0.1681145
0,2007,"F",0.3499365
0,2008,"F",0.3187119
0,2009,"F",0.2881171
0,2010,"F",0.3173927
0,2011,"F",0.2658024
0,2012,"F",0.3830173
0,2013,"F",0.3490226
0,2014,"F",0.2544988
0,2015,"F",0.1441842
0,2016,"F",0.1802649
0,2017,"F",0.1669445
0,2018,"F",0.1050186
1,1977,"SSB",9752.107
1,1978,"SSB",13776.88
1,1979,"SSB",15563.4
1,1980,"SSB",14937.15
1,1981,"SSB",14805.99
1,1982,"SSB",14434
1,1983,"SSB",10957.21
1,1984,"SSB",7326.991
1,1985,"SSB",5370.716
1,1986,"SSB",2995.144
1,1987,"SSB",1525.991
1,1988,"SSB",1099.113
1,1989,"SSB",801.9626
1,1990,"SSB",837.2649
1,1991,"SSB",724.9045
1,1992,"SSB",680.2305
1,1993,"SSB",732.585
1,1994,"SSB",1225.035
1,1995,"SSB",2209.012
1,1996,"SSB",3583.958
1,1997,"SSB",5411.969
1,1998,"SSB",6738.77
1,1999,"SSB",6954.831
1,2000,"SSB",8475.06
1,2001,"SSB",13855.62
1,2002,"SSB",16730.2
1,2003,"SSB",14497.97
1,2004,"SSB",12554.79
1,2005,"SSB",10962.81
1,2006,"SSB",10612.48
1,2007,"SSB",9537.234
1,2008,"SSB",8184.406
1,2009,"SSB",7187.887
1,2010,"SSB",5999.237
1,2011,"SSB",5094.561
1,2012,"SSB",6310.433
1,2013,"SSB",10100.18
1,2014,"SSB",15697.54
1,2015,"SSB",33028.51
1,2016,"SSB",54432.94
1,2017,"SSB",60007.44
1,1977,"F",0.5454217
1,1978,"F",0.622019
1,1979,"F",0.5036768
1,1980,"F",0.7222836
1,1981,"F",0.6216478
1,1982,"F",0.6940655
1,1983,"F",1.113226
1,1984,"F",0.8699675
1,1985,"F",1.095222
1,1986,"F",1.613384
1,1987,"F",0.9287228
1,1988,"F",0.7606377
1,1989,"F",0.6047267
1,1990,"F",1.094966
1,1991,"F",1.227248
1,1992,"F",1.185206
1,1993,"F",0.6902337
1,1994,"F",0.3673979
1,1995,"F",0.5559628
1,1996,"F",0.235881
1,1997,"F",0.3968558
1,1998,"F",0.2762957
1,1999,"F",0.1674492
1,2000,"F",0.2480271
1,2001,"F",0.173651
1,2002,"F",0.1547437
1,2003,"F",0.1575779
1,2004,"F",0.1508
1,2005,"F",0.2352457
1,2006,"F",0.1685474
1,2007,"F",0.352229
1,2008,"F",0.3317809
1,2009,"F",0.286632
1,2010,"F",0.320653
1,2011,"F",0.2655189
1,2012,"F",0.3790773
1,2013,"F",0.3449977
1,2014,"F",0.2539539
1,2015,"F",0.1504079
1,2016,"F",0.189068
1,2017,"F",0.1830892
2,1977,"SSB",9778.154
2,1978,"SSB",13812.15
2,1979,"SSB",15601.24
2,1980,"SSB",14972.74
2,1981,"SSB",14830.92
2,1982,"SSB",14448.91
2,1983,"SSB",10966.06
2,1984,"SSB",7334.491
2,1985,"SSB",5372.845
2,1986,"SSB",2996.567
2,1987,"SSB",1528.599
2,1988,"SSB",1101.348
2,1989,"SSB",803.852
2,1990,"SSB",838.2805
2,1991,"SSB",725.2414
2,1992,"SSB",679.9858
2,1993,"SSB",732.1849
2,1994,"SSB",1224.726
2,1995,"SSB",2209.447
2,1996,"SSB",3586.157
2,1997,"SSB",5417.115
2,1998,"SSB",6745.879
2,1999,"SSB",6960.413
2,2000,"SSB",8481.8
2,2001,"SSB",13871.69
2,2002,"SSB",16750.51
2,2003,"SSB",14514.54
2,2004,"SSB",12566.15
2,2005,"SSB",10966.87
2,2006,"SSB",10596.64
2,2007,"SSB",9506.791
2,2008,"SSB",8139.654
2,2009,"SSB",7130.252
2,2010,"SSB",5932.291
2,2011,"SSB",5005.644
2,2012,"SSB",6075.081
2,2013,"SSB",9550.379
2,2014,"SSB",14735.44
2,2015,"SSB",30283.92
2,2016,"SSB",48803.62
2,1977,"F",0.5449954
2,1978,"F",0.6216823
2,1979,"F",0.5034718
2,1980,"F",0.7220763
2,1981,"F",0.6215205
2,1982,"F",0.6940364
2,1983,"F",1.111993
2,1984,"F",0.870196
2,1985,"F",1.09531
2,1986,"F",1.611024
2,1987,"F",0.927816
2,1988,"F",0.7583285
2,1989,"F",0.601961
2,1990,"F",1.090653
2,1991,"F",1.223437
2,1992,"F",1.182572
2,1993,"F",0.6891855
2,1994,"F",0.3669495
2,1995,"F",0.5548312
2,1996,"F",0.2354347
2,1997,"F",0.3957601
2,1998,"F",0.2755882
2,1999,"F",0.1670651
2,2000,"F",0.2473998
2,2001,"F",0.1732584
2,2002,"F",0.1543983
2,2003,"F",0.157208
2,2004,"F",0.1504756
2,2005,"F",0.2383058
2,2006,"F",0.1686005
2,2007,"F",0.3565221
2,2008,"F",0.3315731
2,2009,"F",0.2895528
2,2010,"F",0.328616
2,2011,"F",0.2695949
2,2012,"F",0.3905092
2,2013,"F",0.3602062
2,2014,"F",0.2703119
2,2015,"F",0.1599457
2,2016,"F",0.2075107
3,1977,"SSB",9794.325
3,1978,"SSB",13842.33
3,1979,"SSB",15632.07
3,1980,"SSB",14990.11
3,1981,"SSB",14826.55
3,1982,"SSB",14430.51
3,1983,"SSB",10945.71
3,1984,"SSB",7317.265
3,1985,"SSB",5356.442
3,1986,"SSB",2990.17
3,1987,"SSB",1528.136
3,1988,"SSB",1101.643
3,1989,"SSB",804.4485
3,1990,"SSB",838.3484
3,1991,"SSB",724.8443
3,1992,"SSB",678.41
3,1993,"SSB",729.5343
3,1994,"SSB",1219.773
3,1995,"SSB",2199.645
3,1996,"SSB",3568.788
3,1997,"SSB",5387.842
3,1998,"SSB",6703.931
3,1999,"SSB",6908.841
3,2000,"SSB",8405.837
3,2001,"SSB",13729.98
3,2002,"SSB",16567.06
3,2003,"SSB",14341.65
3,2004,"SSB",12398.26
3,2005,"SSB",10792.85
3,2006,"SSB",10383.12
3,2007,"SSB",9278.149
3,2008,"SSB",7889.308
3,2009,"SSB",6854.666
3,2010,"SSB",5646.107
3,2011,"SSB",4683.795
3,2012,"SSB",5446.262
3,2013,"SSB",8218.244
3,2014,"SSB",12294.33
3,2015,"SSB",23353.51
3,1977,"F",0.5457365
3,1978,"F",0.6227422
3,1979,"F",0.5042099
3,1980,"F",0.723346
3,1981,"F",0.6225924
3,1982,"F",0.6945296
3,1983,"F",1.112366
3,1984,"F",0.8712836
3,1985,"F",1.095095
3,1986,"F",1.608054
3,1987,"F",0.9267424
3,1988,"F",0.7563675
3,1989,"F",0.6012597
3,1990,"F",1.089315
3,1991,"F",1.222673
3,1992,"F",1.183557
3,1993,"F",0.691135
3,1994,"F",0.3685621
3,1995,"F",0.5573479
3,1996,"F",0.2367332
3,1997,"F",0.3978167
3,1998,"F",0.2773097
3,1999,"F",0.1683662
3,2000,"F",0.2495937
3,2001,"F",0.1751723
3,2002,"F",0.1562318
3,2003,"F",0.1592602
3,2004,"F",0.1526635
3,2005,"F",0.2409683
3,2006,"F",0.1722738
3,2007,"F",0.3608697
3,2008,"F",0.34125
3,2009,"F",0.3038456
3,2010,"F",0.3433771
3,2011,"F",0.2881549
3,2012,"F",0.4269326
3,2013,"F",0.4147493
3,2014,"F",0.3141427
3,2015,"F",0.199166
4,1977,"SSB",9832.254
4,1978,"SSB",13916.29
4,1979,"SSB",15719.06
4,1980,"SSB",15067.49
4,1981,"SSB",14880.11
4,1982,"SSB",14467.59
4,1983,"SSB",10969.32
4,1984,"SSB",7333.719
4,1985,"SSB",5364.725
4,1986,"SSB",2994.793
4,1987,"SSB",1532.189
4,1988,"SSB",1105.308
4,1989,"SSB",807.5022
4,1990,"SSB",840.6038
4,1991,"SSB",726.3374
4,1992,"SSB",679.1481
4,1993,"SSB",729.9337
4,1994,"SSB",1220.313
4,1995,"SSB",2200.031
4,1996,"SSB",3567.423
4,1997,"SSB",5383.603
4,1998,"SSB",6696.336
4,1999,"SSB",6900.055
4,2000,"SSB",8389.325
4,2001,"SSB",13696.79
4,2002,"SSB",16520.75
4,2003,"SSB",14295.8
4,2004,"SSB",12351.39
4,2005,"SSB",10742.26
4,2006,"SSB",10318.52
4,2007,"SSB",9205.859
4,2008,"SSB",7807.088
4,2009,"SSB",6762.259
4,2010,"SSB",5548.795
4,2011,"SSB",4569.868
4,2012,"SSB",5201.024
4,2013,"SSB",7643.164
4,2014,"SSB",10779.37
4,1977,"F",0.5454464
4,1978,"F",0.6221315
4,1979,"F",0.5040246
4,1980,"F",0.7244581
4,1981,"F",0.6227625
4,1982,"F",0.6944445
4,1983,"F",1.111116
4,1984,"F",0.8713517
4,1985,"F",1.094689
4,1986,"F",1.605482
4,1987,"F",0.9248115
4,1988,"F",0.7533431
4,1989,"F",0.5973889
4,1990,"F",1.083431
4,1991,"F",1.217119
4,1992,"F",1.178748
4,1993,"F",0.6886979
4,1994,"F",0.3674759
4,1995,"F",0.5556141
4,1996,"F",0.2361918
4,1997,"F",0.3968492
4,1998,"F",0.2769158
4,1999,"F",0.1682556
4,2000,"F",0.2495547
4,2001,"F",0.1752533
4,2002,"F",0.1563749
4,2003,"F",0.1595094
4,2004,"F",0.1530376
4,2005,"F",0.2425316
4,2006,"F",0.1733188
4,2007,"F",0.3669822
4,2008,"F",0.3422521
4,2009,"F",0.3068527
4,2010,"F",0.3505768
4,2011,"F",0.2946003
4,2012,"F",0.4460045
4,2013,"F",0.4449497
4,2014,"F",0.3526198
5,1977,"SSB",9872.461
5,1978,"SSB",13962.76
5,1979,"SSB",15767.56
5,1980,"SSB",15117.55
5,1981,"SSB",14923.2
5,1982,"SSB",14498.15
5,1983,"SSB",10988.18
5,1984,"SSB",7347.876
5,1985,"SSB",5371.643
5,1986,"SSB",2998.932
5,1987,"SSB",1536.919
5,1988,"SSB",1109.639
5,1989,"SSB",811.161
5,1990,"SSB",842.5471
5,1991,"SSB",726.9327
5,1992,"SSB",678.8785
5,1993,"SSB",729.574
5,1994,"SSB",1220.299
5,1995,"SSB",2202.179
5,1996,"SSB",3573.645
5,1997,"SSB",5394.574
5,1998,"SSB",6710.245
5,1999,"SSB",6910.364
5,2000,"SSB",8392.043
5,2001,"SSB",13679.41
5,2002,"SSB",16483.13
5,2003,"SSB",14252.19
5,2004,"SSB",12296.87
5,2005,"SSB",10667.8
5,2006,"SSB",10175.82
5,2007,"SSB",9014.445
5,2008,"SSB",7576.865
5,2009,"SSB",6500.363
5,2010,"SSB",5272.516
5,2011,"SSB",4261.479
5,2012,"SSB",4516.253
5,2013,"SSB",6110.653
5,1977,"F",0.5439622
5,1978,"F",0.6207384
5,1979,"F",0.5030732
5,1980,"F",0.7226883
5,1981,"F",0.6216302
5,1982,"F",0.6937497
5,1983,"F",1.109168
5,1984,"F",0.8706933
5,1985,"F",1.09421
5,1986,"F",1.601111
5,1987,"F",0.9219908
5,1988,"F",0.7485998
5,1989,"F",0.5894175
5,1990,"F",1.070047
5,1991,"F",1.202994
5,1992,"F",1.166223
5,1993,"F",0.6821282
5,1994,"F",0.3640505
5,1995,"F",0.5494182
5,1996,"F",0.2335831
5,1997,"F",0.3920257
5,1998,"F",0.273786
5,1999,"F",0.1665407
5,2000,"F",0.2470849
5,2001,"F",0.1739491
5,2002,"F",0.155417
5,2003,"F",0.1587472
5,2004,"F",0.1526673
5,2005,"F",0.2436083
5,2006,"F",0.1743985
5,2007,"F",0.3906264
5,2008,"F",0.3497774
5,2009,"F",0.3224674
5,2010,"F",0.3733867
5,2011,"F",0.3170029
5,2012,"F",0.4950157
5,2013,"F",0.5383836
