"Peel","Year","metric","value"
0,1963,"SSB",23373.51
0,1964,"SSB",22627.3
0,1965,"SSB",21503.21
0,1966,"SSB",20768.71
0,1967,"SSB",21108
0,1968,"SSB",22344.01
0,1969,"SSB",24079.61
0,1970,"SSB",26271.54
0,1971,"SSB",28289.83
0,1972,"SSB",30163.55
0,1973,"SSB",32863.3
0,1974,"SSB",35460.5
0,1975,"SSB",36770.43
0,1976,"SSB",37584.12
0,1977,"SSB",37207.43
0,1978,"SSB",35959.47
0,1979,"SSB",35091.31
0,1980,"SSB",34197.53
0,1981,"SSB",32384.48
0,1982,"SSB",29347.59
0,1983,"SSB",26037.41
0,1984,"SSB",23220.49
0,1985,"SSB",20015.98
0,1986,"SSB",16677.31
0,1987,"SSB",14838.98
0,1988,"SSB",14001.63
0,1989,"SSB",13146.22
0,1990,"SSB",13412.09
0,1991,"SSB",13493.74
0,1992,"SSB",14306.64
0,1993,"SSB",12198.78
0,1994,"SSB",9468.288
0,1995,"SSB",8416.775
0,1996,"SSB",8273.815
0,1997,"SSB",8179.624
0,1998,"SSB",9417.933
0,1999,"SSB",9598.58
0,2000,"SSB",9395.015
0,2001,"SSB",10639.13
0,2002,"SSB",12439.92
0,2003,"SSB",12753.24
0,2004,"SSB",11264.91
0,2005,"SSB",9470.024
0,2006,"SSB",9406.751
0,2007,"SSB",11825.87
0,2008,"SSB",12624.26
0,2009,"SSB",12470.46
0,2010,"SSB",15997.76
0,2011,"SSB",19157.58
0,2012,"SSB",19777.48
0,2013,"SSB",20222.15
0,2014,"SSB",19738.69
0,2015,"SSB",18986.14
0,2016,"SSB",22494.04
0,2017,"SSB",24386.41
0,2018,"SSB",20756.96
0,1963,"F",0.1940054
0,1964,"F",0.2105034
0,1965,"F",0.1995143
0,1966,"F",0.1460973
0,1967,"F",0.1151467
0,1968,"F",0.1116615
0,1969,"F",0.1002681
0,1970,"F",0.1186083
0,1971,"F",0.135326
0,1972,"F",0.1311469
0,1973,"F",0.124447
0,1974,"F",0.1385391
0,1975,"F",0.1264455
0,1976,"F",0.1357135
0,1977,"F",0.1740739
0,1978,"F",0.1751005
0,1979,"F",0.1588548
0,1980,"F",0.1863389
0,1981,"F",0.2443502
0,1982,"F",0.3020922
0,1983,"F",0.3159315
0,1984,"F",0.3779095
0,1985,"F",0.4592008
0,1986,"F",0.5046993
0,1987,"F",0.5928032
0,1988,"F",0.6038709
0,1989,"F",0.5924664
0,1990,"F",0.6233756
0,1991,"F",0.5635169
0,1992,"F",0.8729284
0,1993,"F",1.045133
0,1994,"F",0.7284072
0,1995,"F",0.6922444
0,1996,"F",0.5352793
0,1997,"F",0.3580069
0,1998,"F",0.3207984
0,1999,"F",0.4600979
0,2000,"F",0.4255358
0,2001,"F",0.4381764
0,2002,"F",0.3310762
0,2003,"F",0.4436128
0,2004,"F",0.3647789
0,2005,"F",0.3480791
0,2006,"F",0.2242775
0,2007,"F",0.1476091
0,2008,"F",0.1451021
0,2009,"F",0.1744231
0,2010,"F",0.1393688
0,2011,"F",0.1812584
0,2012,"F",0.1685346
0,2013,"F",0.1293513
0,2014,"F",0.1143472
0,2015,"F",0.09725039
0,2016,"F",0.06601181
0,2017,"F",0.09114491
0,2018,"F",0.1065155
1,1963,"SSB",23101.16
1,1964,"SSB",22357.76
1,1965,"SSB",21300.2
1,1966,"SSB",20625.45
1,1967,"SSB",21014.42
1,1968,"SSB",22293.7
1,1969,"SSB",24075.44
1,1970,"SSB",26320.2
1,1971,"SSB",28392.25
1,1972,"SSB",30313.53
1,1973,"SSB",33060.49
1,1974,"SSB",35698.28
1,1975,"SSB",37037.03
1,1976,"SSB",37875.3
1,1977,"SSB",37512.43
1,1978,"SSB",36266.22
1,1979,"SSB",35397.2
1,1980,"SSB",34500.94
1,1981,"SSB",32674.66
1,1982,"SSB",29604.4
1,1983,"SSB",26250.41
1,1984,"SSB",23399.14
1,1985,"SSB",20158.57
1,1986,"SSB",16789.81
1,1987,"SSB",14933.42
1,1988,"SSB",14063.09
1,1989,"SSB",13180.9
1,1990,"SSB",13453.27
1,1991,"SSB",13530.48
1,1992,"SSB",14353.96
1,1993,"SSB",12247.21
1,1994,"SSB",9509.099
1,1995,"SSB",8456.609
1,1996,"SSB",8320.872
1,1997,"SSB",8230.509
1,1998,"SSB",9473.841
1,1999,"SSB",9664.924
1,2000,"SSB",9474.898
1,2001,"SSB",10753.34
1,2002,"SSB",12604.57
1,2003,"SSB",12971.91
1,2004,"SSB",11533.97
1,2005,"SSB",9765.734
1,2006,"SSB",9772.665
1,2007,"SSB",12342.63
1,2008,"SSB",13215.08
1,2009,"SSB",13099.69
1,2010,"SSB",16899.83
1,2011,"SSB",20353.22
1,2012,"SSB",21183.44
1,2013,"SSB",21814.06
1,2014,"SSB",21392.8
1,2015,"SSB",20598.09
1,2016,"SSB",24485.17
1,2017,"SSB",26738.22
