"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho"
"Base Case",2018,0,1,1,"All Ages",1,2.14444461479399
"Sudden Cmults",1995,0,2,1,"All Ages",1,1.62627116534325
"Sudden Cmults",1995,0,3,1,"All Ages",1,1.20120542651224
"Sudden Cmults",1995,0,4,1,"All Ages",1,0.9929272038745
"Sudden Cmults",1995,0,5,1,"All Ages",1,0.872836348272161
"Sudden Cmults",1995,0,6,1,"All Ages",1,0.789371636392121
"Sudden Cmults",1995,0,7,1,"All Ages",1,0.725257183837965
"Sudden Cmults",1995,0,8,1,"All Ages",1,0.673085230926354
"Sudden Cmults",1995,0,9,1,"All Ages",1,0.629067533916113
"Sudden Cmults",1995,0,10,1,"All Ages",1,0.591010233290691
"Sudden Cmults",2000,0,2,1,"All Ages",1,1.49266791262407
"Sudden Cmults",2000,0,3,1,"All Ages",1,1.04763969406148
"Sudden Cmults",2000,0,4,1,"All Ages",1,0.853883084279893
"Sudden Cmults",2000,0,5,1,"All Ages",1,0.735718687452025
"Sudden Cmults",2000,0,6,1,"All Ages",1,0.649514342890394
"Sudden Cmults",2000,0,7,1,"All Ages",1,0.581041189526003
"Sudden Cmults",2000,0,8,1,"All Ages",1,0.524032407959296
"Sudden Cmults",2000,0,9,1,"All Ages",1,0.475155945292286
"Sudden Cmults",2000,0,10,1,"All Ages",1,0.432405447536694
"Sudden Cmults",2005,0,2,1,"All Ages",1,1.24426077197301
"Sudden Cmults",2005,0,3,1,"All Ages",1,0.837586361545458
"Sudden Cmults",2005,0,4,1,"All Ages",1,0.649506010033509
"Sudden Cmults",2005,0,5,1,"All Ages",1,0.520448988155213
"Sudden Cmults",2005,0,6,1,"All Ages",1,0.420662233298868
"Sudden Cmults",2005,0,7,1,"All Ages",1,0.3393888606177
"Sudden Cmults",2005,0,8,1,"All Ages",1,0.271208242995721
"Sudden Cmults",2005,0,9,1,"All Ages",1,0.212863643889073
"Sudden Cmults",2005,0,10,1,"All Ages",1,0.162192891536808
"Sudden Cmults",2010,0,2,1,"All Ages",1,1.60346687274049
"Sudden Cmults",2010,0,3,1,"All Ages",1,0.812394621255913
"Sudden Cmults",2010,0,4,1,"All Ages",1,0.562734305028506
"Sudden Cmults",2010,0,5,1,"All Ages",1,0.404845659831828
"Sudden Cmults",2010,0,6,1,"All Ages",1,0.285342539805342
"Sudden Cmults",2010,0,7,1,"All Ages",1,0.189641296546642
"Sudden Cmults",2010,0,8,1,"All Ages",1,0.110630788005014
"Sudden Cmults",2010,0,9,1,"All Ages",1,0.0440238619866934
"Sudden Cmults",2010,0,10,1,"All Ages",1,-0.0130282681264628
"Sudden Cmults",2013,0,2,1,"All Ages",1,2.51324976235538
"Sudden Cmults",2013,0,3,1,"All Ages",1,2.43608201878002
"Sudden Cmults",2013,0,4,1,"All Ages",1,2.10907976067982
"Sudden Cmults",2013,0,5,1,"All Ages",1,1.71858607009254
"Sudden Cmults",2013,0,6,1,"All Ages",1,1.37330492071072
"Sudden Cmults",2013,0,7,1,"All Ages",1,1.09834607148798
"Sudden Cmults",2013,0,8,1,"All Ages",1,0.874433195836933
"Sudden Cmults",2013,0,9,1,"All Ages",1,0.688615084246436
"Sudden Cmults",2013,0,10,1,"All Ages",1,0.532441864053928
"Sudden Cmults",2015,0,2,1,"All Ages",1,2.1986550619016
"Sudden Cmults",2015,0,3,1,"All Ages",1,2.21077825281877
"Sudden Cmults",2015,0,4,1,"All Ages",1,2.1750507715057
"Sudden Cmults",2015,0,5,1,"All Ages",1,2.09388657530268
"Sudden Cmults",2015,0,6,1,"All Ages",1,1.97721090616947
"Sudden Cmults",2015,0,7,1,"All Ages",1,1.83826138166498
"Sudden Cmults",2015,0,8,1,"All Ages",1,1.68926413092648
"Sudden Cmults",2015,0,9,1,"All Ages",1,1.53929445277003
"Sudden Cmults",2015,0,10,1,"All Ages",1,1.39411476482142
"Ramp4 Cmults",1995,4,2,1,"All Ages",1,1.72854348509359
"Ramp4 Cmults",1995,4,3,1,"All Ages",1,1.35060442413581
"Ramp4 Cmults",1995,4,4,1,"All Ages",1,1.13226008553886
"Ramp4 Cmults",1995,4,5,1,"All Ages",1,1.00806670183152
"Ramp4 Cmults",1995,4,6,1,"All Ages",1,0.925073066197836
"Ramp4 Cmults",1995,4,7,1,"All Ages",1,0.863590275603538
"Ramp4 Cmults",1995,4,8,1,"All Ages",1,0.815008811358463
"Ramp4 Cmults",1995,4,9,1,"All Ages",1,0.774955201274106
"Ramp4 Cmults",1995,4,10,1,"All Ages",1,0.740943242363396
"Ramp4 Cmults",2000,4,2,1,"All Ages",1,1.5569150562634
"Ramp4 Cmults",2000,4,3,1,"All Ages",1,1.11878817768879
"Ramp4 Cmults",2000,4,4,1,"All Ages",1,0.919500386490834
"Ramp4 Cmults",2000,4,5,1,"All Ages",1,0.801705301390194
"Ramp4 Cmults",2000,4,6,1,"All Ages",1,0.717718802693202
"Ramp4 Cmults",2000,4,7,1,"All Ages",1,0.651980979611383
"Ramp4 Cmults",2000,4,8,1,"All Ages",1,0.597766793905976
"Ramp4 Cmults",2000,4,9,1,"All Ages",1,0.551578298309621
"Ramp4 Cmults",2000,4,10,1,"All Ages",1,0.511352506286834
"Ramp4 Cmults",2005,4,2,1,"All Ages",1,1.35349370480502
"Ramp4 Cmults",2005,4,3,1,"All Ages",1,0.923521342428929
"Ramp4 Cmults",2005,4,4,1,"All Ages",1,-0.84296440140632
"Ramp4 Cmults",2005,4,5,1,"All Ages",1,0.618391640848122
"Ramp4 Cmults",2005,4,6,1,"All Ages",1,0.527718730438457
"Ramp4 Cmults",2005,4,7,1,"All Ages",1,0.454558267672747
"Ramp4 Cmults",2005,4,8,1,"All Ages",1,0.39326658759655
