scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Base Case,2018,0,1,1,All Ages,1,-0.251796415
Sudden Cmults,2000,0,0.1,1,All Ages,1,-0.092198467
Sudden Cmults,2000,0,0.2,1,All Ages,1,-0.10405916
Sudden Cmults,2000,0,0.3,1,All Ages,1,-0.121467716
Sudden Cmults,2000,0,0.4,1,All Ages,1,-0.146186981
Sudden Cmults,2000,0,0.5,1,All Ages,1,-0.173739843
Sudden Cmults,2000,0,0.6,1,All Ages,1,-0.198243156
Sudden Cmults,2000,0,0.7,1,All Ages,1,-0.216721422
Sudden Cmults,2000,0,0.8,1,All Ages,1,-0.231046455
Sudden Cmults,2000,0,0.9,1,All Ages,1,-0.242454853
Sudden Cmults,2005,0,0.1,1,All Ages,1,-0.08511644
Sudden Cmults,2005,0,0.2,1,All Ages,1,-0.09871926
Sudden Cmults,2005,0,0.3,1,All Ages,1,-0.118633446
Sudden Cmults,2005,0,0.4,1,All Ages,1,-0.144895762
Sudden Cmults,2005,0,0.5,1,All Ages,1,-0.170947914
Sudden Cmults,2005,0,0.6,1,All Ages,1,-0.19378761
Sudden Cmults,2005,0,0.7,1,All Ages,1,-0.212660666
Sudden Cmults,2005,0,0.8,1,All Ages,1,-0.22814043
Sudden Cmults,2005,0,0.9,1,All Ages,1,-0.24097809
Sudden Cmults,2010,0,0.1,1,All Ages,1,-0.137345528
Sudden Cmults,2010,0,0.2,1,All Ages,1,-0.147464957
Sudden Cmults,2010,0,0.3,1,All Ages,1,-0.15937855
Sudden Cmults,2010,0,0.4,1,All Ages,1,-0.172881408
Sudden Cmults,2010,0,0.5,1,All Ages,1,-0.187410174
Sudden Cmults,2010,0,0.6,1,All Ages,1,-0.202164634
Sudden Cmults,2010,0,0.7,1,All Ages,1,-0.216367479
Sudden Cmults,2010,0,0.8,1,All Ages,1,-0.229486768
Sudden Cmults,2010,0,0.9,1,All Ages,1,-0.241294785
Sudden Cmults,2015,0,0.1,1,All Ages,1,-0.223697322
Sudden Cmults,2015,0,0.2,1,All Ages,1,-0.225852732
Sudden Cmults,2015,0,0.3,1,All Ages,1,-0.228240572
Sudden Cmults,2015,0,0.4,1,All Ages,1,-0.23086738
Sudden Cmults,2015,0,0.5,1,All Ages,1,-0.233738056
Sudden Cmults,2015,0,0.6,1,All Ages,1,-0.236856088
Sudden Cmults,2015,0,0.7,1,All Ages,1,-0.240222648
Sudden Cmults,2015,0,0.8,1,All Ages,1,-0.243837221
Sudden Cmults,2015,0,0.9,1,All Ages,1,-0.247696878
Sudden Cmults,2000,0,0.01,1,All Ages,1,-0.085907061
Sudden Cmults,2000,0,0.02,1,All Ages,1,-0.08647201
Sudden Cmults,2000,0,0.03,1,All Ages,1,-0.087056496
Sudden Cmults,2000,0,0.04,1,All Ages,1,-0.087673007
Sudden Cmults,2000,0,0.05,1,All Ages,1,-0.088323876
Sudden Cmults,2000,0,0.06,1,All Ages,1,-0.08901196
Sudden Cmults,2000,0,0.07,1,All Ages,1,-0.089739015
Sudden Cmults,2000,0,0.08,1,All Ages,1,-0.090510356
Sudden Cmults,2000,0,0.09,1,All Ages,1,-0.091328865
Sudden Cmults,2005,0,0.01,1,All Ages,1,-0.076513973
Sudden Cmults,2005,0,0.02,1,All Ages,1,-0.077347111
Sudden Cmults,2005,0,0.03,1,All Ages,1,-0.07820712
Sudden Cmults,2005,0,0.04,1,All Ages,1,-0.079098204
Sudden Cmults,2005,0,0.05,1,All Ages,1,-0.08002173
Sudden Cmults,2005,0,0.06,1,All Ages,1,-0.080978568
Sudden Cmults,2005,0,0.07,1,All Ages,1,-0.081971126
Sudden Cmults,2005,0,0.08,1,All Ages,1,-0.082987464
Sudden Cmults,2005,0,0.09,1,All Ages,1,-0.084031003
Sudden Cmults,2010,0,0.01,1,All Ages,1,-0.129677059
Sudden Cmults,2010,0,0.02,1,All Ages,1,-0.130474881
Sudden Cmults,2010,0,0.03,1,All Ages,1,-0.131286161
Sudden Cmults,2010,0,0.04,1,All Ages,1,-0.132104498
Sudden Cmults,2010,0,0.05,1,All Ages,1,-0.132937444
Sudden Cmults,2010,0,0.06,1,All Ages,1,-0.133786169
Sudden Cmults,2010,0,0.07,1,All Ages,1,-0.13465094
Sudden Cmults,2010,0,0.08,1,All Ages,1,-0.135532483
Sudden Cmults,2010,0,0.09,1,All Ages,1,-0.136430561
Sudden Cmults,2015,0,0.01,1,All Ages,1,-0.221949696
Sudden Cmults,2015,0,0.02,1,All Ages,1,-0.222135058
Sudden Cmults,2015,0,0.03,1,All Ages,1,-0.222322651
Sudden Cmults,2015,0,0.04,1,All Ages,1,-0.222512389
Sudden Cmults,2015,0,0.05,1,All Ages,1,-0.222704399
Sudden Cmults,2015,0,0.06,1,All Ages,1,-0.222898476
Sudden Cmults,2015,0,0.07,1,All Ages,1,-0.223094802
Sudden Cmults,2015,0,0.08,1,All Ages,1,-0.223293421
Sudden Cmults,2015,0,0.09,1,All Ages,1,-0.223494234
Sudden Mmults,2000,0,1,0.1,All Ages,1,0.033396026
Sudden Mmults,2000,0,1,0.2,All Ages,1,-0.004743656
Sudden Mmults,2000,0,1,0.3,All Ages,1,-0.041378177
Sudden Mmults,2000,0,1,0.4,All Ages,1,-0.076475058
Sudden Mmults,2000,0,1,0.5,All Ages,1,-0.109892748
Sudden Mmults,2000,0,1,0.6,All Ages,1,-0.141663317
Sudden Mmults,2000,0,1,0.7,All Ages,1,-0.171716245
Sudden Mmults,2000,0,1,0.8,All Ages,1,-0.200091337
Sudden Mmults,2000,0,1,0.9,All Ages,1,-0.226777196
Sudden Mmults,2005,0,1,0.1,All Ages,1,0.097155583
Sudden Mmults,2005,0,1,0.2,All Ages,1,0.04730109
Sudden Mmults,2005,0,1,0.3,All Ages,1,0.000565241
Sudden Mmults,2005,0,1,0.4,All Ages,1,-0.043173462
Sudden Mmults,2005,0,1,0.5,All Ages,1,-0.084117193
Sudden Mmults,2005,0,1,0.6,All Ages,1,-0.12239855
Sudden Mmults,2005,0,1,0.7,All Ages,1,-0.158156596
Sudden Mmults,2005,0,1,0.8,All Ages,1,-0.191538125
Sudden Mmults,2005,0,1,0.9,All Ages,1,-0.22269842
Sudden Mmults,2010,0,1,0.1,All Ages,1,0.083335649
Sudden Mmults,2010,0,1,0.2,All Ages,1,0.03627039
Sudden Mmults,2010,0,1,0.3,All Ages,1,-0.007910249
Sudden Mmults,2010,0,1,0.4,All Ages,1,-0.049402421
Sudden Mmults,2010,0,1,0.5,All Ages,1,-0.088393925
Sudden Mmults,2010,0,1,0.6,All Ages,1,-0.12506452
Sudden Mmults,2010,0,1,0.7,All Ages,1,-0.159584062
Sudden Mmults,2010,0,1,0.8,All Ages,1,-0.192114205
Sudden Mmults,2010,0,1,0.9,All Ages,1,-0.222805282
Sudden Mmults,2015,0,1,0.1,All Ages,1,-0.111241269
Sudden Mmults,2015,0,1,0.2,All Ages,1,-0.12815876
Sudden Mmults,2015,0,1,0.3,All Ages,1,-0.144730717
Sudden Mmults,2015,0,1,0.4,All Ages,1,-0.160966021
Sudden Mmults,2015,0,1,0.5,All Ages,1,-0.17687386
Sudden Mmults,2015,0,1,0.6,All Ages,1,-0.192462791
Sudden Mmults,2015,0,1,0.7,All Ages,1,-0.207741285
Sudden Mmults,2015,0,1,0.8,All Ages,1,-0.222717617
Sudden Mmults,2015,0,1,0.9,All Ages,1,-0.237400141
Sudden Mmults,2000,0,1,0.15,All Ages,1,0.014143318
Sudden Mmults,2000,0,1,0.16,All Ages,1,0.010336489
Sudden Mmults,2000,0,1,0.17,All Ages,1,0.006544733
Sudden Mmults,2000,0,1,0.18,All Ages,1,0.002767237
Sudden Mmults,2000,0,1,0.19,All Ages,1,-0.00099555
Sudden Mmults,2010,0,1,0.25,All Ages,1,0.013831905
Sudden Mmults,2010,0,1,0.26,All Ages,1,0.009428542
Sudden Mmults,2010,0,1,0.27,All Ages,1,0.005052794
Sudden Mmults,2010,0,1,0.28,All Ages,1,0.000704741
Sudden Mmults,2010,0,1,0.29,All Ages,1,-0.003616489
Sudden Mmults,2015,0,1,0.01,All Ages,1,-0.09571264
Sudden Mmults,2015,0,1,0.03,All Ages,1,-0.099188592
Sudden Mmults,2015,0,1,0.05,All Ages,1,-0.102650271
Sudden Mmults,2015,0,1,0.07,All Ages,1,-0.106097414
Sudden Mmults,2015,0,1,0.09,All Ages,1,-0.109530291
Ramp4 Cmults,2000,4,0.1,1,All Ages,1,-0.094961799
