scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Base Case,2018,0,1,1,All Ages,1,0.243526049
Sudden Cmults,2000,0,1.5,1,All Ages,1,0.250101316
Sudden Cmults,2000,0,2,1,All Ages,1,0.13805476
Sudden Cmults,2000,0,2.5,1,All Ages,1,0.022798412
Sudden Cmults,2000,0,3,1,All Ages,1,-0.071035431
Sudden Cmults,2000,0,3.5,1,All Ages,1,-0.142404992
Sudden Cmults,2000,0,4,1,All Ages,1,-0.197405894
Sudden Cmults,2000,0,4.5,1,All Ages,1,-0.241662371
Sudden Cmults,2000,0,5,1,All Ages,1,-0.275934983
Sudden Cmults,2005,0,1.5,1,All Ages,1,0.247178089
Sudden Cmults,2005,0,2,1,All Ages,1,0.065596991
Sudden Cmults,2005,0,2.5,1,All Ages,1,-0.097666029
Sudden Cmults,2005,0,3,1,All Ages,1,-0.213784658
Sudden Cmults,2005,0,3.5,1,All Ages,1,-0.296146389
Sudden Cmults,2005,0,4,1,All Ages,1,-0.35651515
Sudden Cmults,2005,0,4.5,1,All Ages,1,-0.402665358
Sudden Cmults,2005,0,5,1,All Ages,1,-0.439052059
Sudden Cmults,2010,0,1.5,1,All Ages,1,0.265832328
Sudden Cmults,2010,0,2,1,All Ages,1,0.094263347
Sudden Cmults,2010,0,2.5,1,All Ages,1,-0.097456697
Sudden Cmults,2010,0,3,1,All Ages,1,-0.238963284
Sudden Cmults,2010,0,3.5,1,All Ages,1,-0.337900527
Sudden Cmults,2010,0,4,1,All Ages,1,-0.408466413
Sudden Cmults,2010,0,4.5,1,All Ages,1,-0.460527046
Sudden Cmults,2010,0,5,1,All Ages,1,-0.50011859
Sudden Cmults,2015,0,1.5,1,All Ages,1,0.242890004
Sudden Cmults,2015,0,2,1,All Ages,1,0.223942924
Sudden Cmults,2015,0,2.5,1,All Ages,1,0.18194134
Sudden Cmults,2015,0,3,1,All Ages,1,0.119466541
Sudden Cmults,2015,0,3.5,1,All Ages,1,0.045343858
Sudden Cmults,2015,0,4,1,All Ages,1,-0.031140281
Sudden Cmults,2015,0,4.5,1,All Ages,1,-0.10386847
Sudden Cmults,2015,0,5,1,All Ages,1,-0.169991256
Sudden Cmults,2000,0,2.6,1,All Ages,1,0.002031043
Sudden Cmults,2000,0,2.7,1,All Ages,1,-0.017715684
Sudden Cmults,2000,0,2.8,1,All Ages,1,-0.036455977
Sudden Cmults,2000,0,2.9,1,All Ages,1,-0.054217395
Sudden Cmults,2005,0,2.1,1,All Ages,1,0.028997061
Sudden Cmults,2005,0,2.2,1,All Ages,1,-0.005749937
Sudden Cmults,2005,0,2.3,1,All Ages,1,-0.038458043
Sudden Cmults,2005,0,2.4,1,All Ages,1,-0.06908266
Sudden Cmults,2010,0,2.1,1,All Ages,1,0.052965121
Sudden Cmults,2010,0,2.2,1,All Ages,1,0.012639401
Sudden Cmults,2010,0,2.3,1,All Ages,1,-0.026084014
Sudden Cmults,2010,0,2.4,1,All Ages,1,-0.062841133
Sudden Cmults,2015,0,3.6,1,All Ages,1,0.02998625
Sudden Cmults,2015,0,3.7,1,All Ages,1,0.014607406
Sudden Cmults,2015,0,3.8,1,All Ages,1,-0.000738192
Sudden Cmults,2015,0,3.9,1,All Ages,1,-0.016001561
Ramp4 Cmults,2000,4,1.5,1,All Ages,1,0.254649446
Ramp4 Cmults,2000,4,2,1,All Ages,1,0.166766975
Ramp4 Cmults,2000,4,2.5,1,All Ages,1,0.06689283
Ramp4 Cmults,2000,4,3,1,All Ages,1,-0.015159768
Ramp4 Cmults,2000,4,3.5,1,All Ages,1,-0.083429416
Ramp4 Cmults,2000,4,4,1,All Ages,1,-0.134948468
Ramp4 Cmults,2000,4,4.5,1,All Ages,1,-0.173096503
Ramp4 Cmults,2000,4,5,1,All Ages,1,-0.176014648
Ramp4 Cmults,2005,4,1.5,1,All Ages,1,0.249112552
Ramp4 Cmults,2005,4,2,1,All Ages,1,0.096814756
Ramp4 Cmults,2005,4,2.5,1,All Ages,1,-0.048105965
Ramp4 Cmults,2005,4,3,1,All Ages,1,-0.155531883
Ramp4 Cmults,2005,4,3.5,1,All Ages,1,-0.234378977
