"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho"
"Base Case",2015,0,1,1,"All Ages",1,0.554851204011674
"Sudden Cmults",1995,0,2,1,"All Ages",1,0.361584327393253
"Sudden Cmults",1995,0,3,1,"All Ages",1,0.269377711172935
"Sudden Cmults",1995,0,4,1,"All Ages",1,0.213193836022957
"Sudden Cmults",1995,0,5,1,"All Ages",1,0.174885443734205
"Sudden Cmults",1995,0,6,1,"All Ages",1,0.147152860452964
"Sudden Cmults",1995,0,7,1,"All Ages",1,0.126483346299598
"Sudden Cmults",1995,0,8,1,"All Ages",1,0.111042838330268
"Sudden Cmults",1995,0,9,1,"All Ages",1,0.099858667886534
"Sudden Cmults",1995,0,10,1,"All Ages",1,0.0929069938932041
"Sudden Cmults",2000,0,2,1,"All Ages",1,0.282143678586602
"Sudden Cmults",2000,0,3,1,"All Ages",1,0.159845070374036
"Sudden Cmults",2000,0,4,1,"All Ages",1,0.086944438469041
"Sudden Cmults",2000,0,5,1,"All Ages",1,0.0370782183028631
"Sudden Cmults",2000,0,6,1,"All Ages",1,0.000113515873915045
"Sudden Cmults",2000,0,7,1,"All Ages",1,-0.0287647887758773
"Sudden Cmults",2000,0,8,1,"All Ages",1,-0.0521774583168108
"Sudden Cmults",2000,0,9,1,"All Ages",1,-0.0716924842817548
"Sudden Cmults",2000,0,10,1,"All Ages",1,-0.08831911722783
"Sudden Cmults",2005,0,2,1,"All Ages",1,0.170012192806161
"Sudden Cmults",2005,0,3,1,"All Ages",1,0.0186303454575113
"Sudden Cmults",2005,0,4,1,"All Ages",1,-0.0661392434278216
"Sudden Cmults",2005,0,5,1,"All Ages",1,-0.122231192060282
"Sudden Cmults",2005,0,6,1,"All Ages",1,-0.163016276308681
"Sudden Cmults",2005,0,7,1,"All Ages",1,-0.194501240082971
"Sudden Cmults",2005,0,8,1,"All Ages",1,-0.219831731608416
"Sudden Cmults",2005,0,9,1,"All Ages",1,-0.240837492585084
"Sudden Cmults",2005,0,10,1,"All Ages",1,-0.258665444963398
"Sudden Cmults",2010,0,2,1,"All Ages",1,0.0807867690327462
"Sudden Cmults",2010,0,3,1,"All Ages",1,-0.115941558658022
"Sudden Cmults",2010,0,4,1,"All Ages",1,-0.220543785867724
"Sudden Cmults",2010,0,5,1,"All Ages",1,-0.286873365326423
"Sudden Cmults",2010,0,6,1,"All Ages",1,-0.333985100787891
"Sudden Cmults",2010,0,7,1,"All Ages",1,-0.370082949199567
"Sudden Cmults",2010,0,8,1,"All Ages",1,-0.399201562575244
"Sudden Cmults",2010,0,9,1,"All Ages",1,-0.423546490313296
"Sudden Cmults",2010,0,10,1,"All Ages",1,-0.444429549535716
"Sudden Cmults",2005,0,3.3,1,"All Ages",1,-0.0112187078454577
"Sudden Cmults",2005,0,3.4,1,"All Ages",1,-0.0201899727045934
"Sudden Cmults",2005,0,3.5,1,"All Ages",1,-0.0287367996176963
"Sudden Cmults",2005,0,3.6,1,"All Ages",1,-0.0368918533882221
"Sudden Cmults",2005,0,3.7,1,"All Ages",1,-0.0446845656026711
"Sudden Cmults",2010,0,2.1,1,"All Ages",1,0.0535569978783684
"Sudden Cmults",2010,0,2.2,1,"All Ages",1,0.0285499633837625
"Sudden Cmults",2010,0,2.3,1,"All Ages",1,0.00551058720065174
"Sudden Cmults",2010,0,2.4,1,"All Ages",1,-0.0157818291510267
"Sudden Cmults",2010,0,2.5,1,"All Ages",1,-0.0355179444366788
"Ramp4 Cmults",1995,4,2,1,"All Ages",1,0.404854025655962
"Ramp4 Cmults",1995,4,3,1,"All Ages",1,0.335421273957557
"Ramp4 Cmults",1995,4,4,1,"All Ages",1,0.294516627163647
"Ramp4 Cmults",1995,4,5,1,"All Ages",1,0.267977246588441
"Ramp4 Cmults",1995,4,6,1,"All Ages",1,0.25000655949999
"Ramp4 Cmults",1995,4,7,1,"All Ages",1,0.237699478758855
"Ramp4 Cmults",1995,4,8,1,"All Ages",1,0.228547246086645
"Ramp4 Cmults",1995,4,9,1,"All Ages",1,0.221905903312317
"Ramp4 Cmults",1995,4,10,1,"All Ages",1,0.217006288857975
"Ramp4 Cmults",2000,4,2,1,"All Ages",1,0.313078446249566
"Ramp4 Cmults",2000,4,3,1,"All Ages",1,0.202119569860731
"Ramp4 Cmults",2000,4,4,1,"All Ages",1,0.135102082266742
"Ramp4 Cmults",2000,4,5,1,"All Ages",1,0.0889522315734682
"Ramp4 Cmults",2000,4,6,1,"All Ages",1,0.0546508626357383
"Ramp4 Cmults",2000,4,7,1,"All Ages",1,0.0278572456949537
"Ramp4 Cmults",2000,4,8,1,"All Ages",1,0.00618642749700645
"Ramp4 Cmults",2000,4,9,1,"All Ages",1,-0.0118006149685902
"Ramp4 Cmults",2000,4,10,1,"All Ages",1,-0.0270373071819873
"Ramp4 Cmults",2005,4,2,1,"All Ages",1,0.221951294493074
"Ramp4 Cmults",2005,4,3,1,"All Ages",1,0.0835840443594198
"Ramp4 Cmults",2005,4,4,1,"All Ages",1,0.00433192399160369
"Ramp4 Cmults",2005,4,5,1,"All Ages",1,-0.0486178569838854
"Ramp4 Cmults",2005,4,6,1,"All Ages",1,-0.087279619153198
"Ramp4 Cmults",2005,4,7,1,"All Ages",1,-0.117188697219282
"Ramp4 Cmults",2005,4,8,1,"All Ages",1,-0.141270902543736
"Ramp4 Cmults",2005,4,9,1,"All Ages",1,-0.161244339472039
"Ramp4 Cmults",2005,4,10,1,"All Ages",1,-0.178193619647361
"Ramp4 Cmults",2010,4,2,1,"All Ages",1,0.100880409859362
"Ramp4 Cmults",2010,4,3,1,"All Ages",1,-0.0755818526478731
"Ramp4 Cmults",2010,4,4,1,"All Ages",1,-0.17083076293298
"Ramp4 Cmults",2010,4,5,1,"All Ages",1,-0.232595450894548
"Ramp4 Cmults",2010,4,6,1,"All Ages",1,-0.277006466827002
"Ramp4 Cmults",2010,4,7,1,"All Ages",1,-0.311077949847147
"Ramp4 Cmults",2010,4,8,1,"All Ages",1,-0.338386647846449
"Ramp4 Cmults",2010,4,9,1,"All Ages",1,-0.360970297588723
"Ramp4 Cmults",2010,4,10,1,"All Ages",1,-0.380088541277584
"Ramp4 Cmults",2000,4,8.3,1,"All Ages",1,0.000453181905332376
"Ramp4 Cmults",2000,4,8.4,1,"All Ages",1,-0.00138972317067444
"Ramp4 Cmults",2000,4,8.5,1,"All Ages",1,-0.00320057915488514
"Ramp4 Cmults",2000,4,8.6,1,"All Ages",1,-0.00498000841459393
"Ramp4 Cmults",2000,4,8.7,1,"All Ages",1,-0.00672876779348039
"Ramp4 Cmults",2005,4,4.1,1,"All Ages",1,-0.00186408608231393
"Ramp4 Cmults",2005,4,4.2,1,"All Ages",1,-0.00782617911730374
"Ramp4 Cmults",2005,4,4.3,1,"All Ages",1,-0.0135689667003447
"Ramp4 Cmults",2010,4,2.3,1,"All Ages",1,0.0333260841230938
"Ramp4 Cmults",2010,4,2.4,1,"All Ages",1,0.0142626733369131
"Ramp4 Cmults",2010,4,2.5,1,"All Ages",1,-0.00340561497055957
"Ramp4 Cmults",2010,4,2.6,1,"All Ages",1,-0.0198348421259414
"Ramp4 Cmults",2010,4,2.7,1,"All Ages",1,-0.0351590905775797
"Ramp9 Cmults",1995,9,2,1,"All Ages",1,0.452080851526415
"Ramp9 Cmults",1995,9,3,1,"All Ages",1,0.407694239860239
"Ramp9 Cmults",1995,9,4,1,"All Ages",1,0.382607070147771
"Ramp9 Cmults",1995,9,5,1,"All Ages",1,0.366531430946202
"Ramp9 Cmults",1995,9,6,1,"All Ages",1,0.355423036934801
"Ramp9 Cmults",1995,9,7,1,"All Ages",1,0.347336954735894
"Ramp9 Cmults",1995,9,8,1,"All Ages",1,0.341218603135238
"Ramp9 Cmults",1995,9,9,1,"All Ages",1,0.336446981131447
"Ramp9 Cmults",1995,9,10,1,"All Ages",1,0.3326330918107
"Ramp9 Cmults",2000,9,2,1,"All Ages",1,0.361897148772476
"Ramp9 Cmults",2000,9,3,1,"All Ages",1,0.274872756295649
"Ramp9 Cmults",2000,9,4,1,"All Ages",1,0.223182841539082
"Ramp9 Cmults",2000,9,5,1,"All Ages",1,0.188365363771124
"Ramp9 Cmults",2000,9,6,1,"All Ages",1,0.163246344582545
"Ramp9 Cmults",2000,9,7,1,"All Ages",1,0.144389088242168
"Ramp9 Cmults",2000,9,8,1,"All Ages",1,0.129905210234934
"Ramp9 Cmults",2000,9,9,1,"All Ages",1,0.118863413477448
"Ramp9 Cmults",2000,9,10,1,"All Ages",1,0.110030067786032
"Ramp9 Cmults",2005,9,2,1,"All Ages",1,0.269850350552532
"Ramp9 Cmults",2005,9,3,1,"All Ages",1,0.147416023459377
"Ramp9 Cmults",2005,9,4,1,"All Ages",1,0.0758596658451598
"Ramp9 Cmults",2005,9,5,1,"All Ages",1,0.027448023524111
"Ramp9 Cmults",2005,9,6,1,"All Ages",1,-0.00819551493936316
"Ramp9 Cmults",2005,9,7,1,"All Ages",1,-0.035919279150259
"Ramp9 Cmults",2005,9,8,1,"All Ages",1,-0.0583303175024793
"Ramp9 Cmults",2005,9,9,1,"All Ages",1,-0.0769725298138639
"Ramp9 Cmults",2005,9,10,1,"All Ages",1,-0.0928294067835284
"Ramp9 Cmults",2010,9,2,1,"All Ages",1,0.165111835441188
"Ramp9 Cmults",2010,9,3,1,"All Ages",1,0.0117167229607524
"Ramp9 Cmults",2010,9,4,1,"All Ages",1,-0.0720012763196247
"Ramp9 Cmults",2010,9,5,1,"All Ages",1,-0.126277645410846
"Ramp9 Cmults",2010,9,6,1,"All Ages",1,-0.165119052381254
"Ramp9 Cmults",2010,9,7,1,"All Ages",1,-0.194732524009987
"Ramp9 Cmults",2010,9,8,1,"All Ages",1,-0.218324125629615
"Ramp9 Cmults",2010,9,9,1,"All Ages",1,-0.237732622542021
"Ramp9 Cmults",2010,9,10,1,"All Ages",1,-0.254102454868433
"Ramp9 Cmults",2005,9,5.7,1,"All Ages",1,0.00150464275701426
"Ramp9 Cmults",2005,9,5.8,1,"All Ages",1,-0.00181192247263572
"Ramp9 Cmults",2005,9,5.9,1,"All Ages",1,-0.00504395629577642
"Ramp9 Cmults",2010,9,3.3,1,"All Ages",1,-0.0179771201968127
"Ramp9 Cmults",2010,9,3.4,1,"All Ages",1,-0.0268575600128718
"Ramp9 Cmults",2010,9,3.5,1,"All Ages",1,-0.0352983835695225
"Ramp9 Cmults",2010,9,3.6,1,"All Ages",1,-0.0433340027841247
