"Scenario","Case","RampLab","ChangeYear","Metric","SSB","F"
"orig","orig","None","None","Terminal",3152.809,0.01974118
"orig.rhoadj","orig.rhoadj","None","None","Terminal",1002.66005168819,0.0504529068364023
"orig","orig","None","None","Target",10177.3369168884,0.997132848753702
"orig.rhoadj","orig.rhoadj","None","None","Target",10177.3369168884,0.997132848753702
"orig","orig","None","None","Ratio",0.309787228795403,0.0197979436989506
"orig.rhoadj","orig.rhoadj","None","None","Ratio",0.0985189013468118,0.0505979788946502
"Cmult Sudden 2010","Cmult","Sudden","2010","Terminal",1881.201,0.395988
"Cmult Ramp4 2013","Cmult","Ramp4","2013","Terminal",1761.595,0.38643
"Cmult Ramp9 2015","Cmult","Ramp9","2015","Terminal",1894.989,0.401876
"Mmult All Ages Sudden 2005","Mmult All Ages","Sudden","2005","Terminal",914.0925,0.08191162
"Mmult All Ages Ramp4 2010","Mmult All Ages","Ramp4","2010","Terminal",867.4747,0.08100535
"Mmult All Ages Ramp9 2000","Mmult All Ages","Ramp9","2000","Terminal",1127.652,0.07477011
"Mmult Old Sudden 2000","Mmult Old","Sudden","2000","Terminal",1673.708,0.04443441
"Mmult Old Ramp4 2005","Mmult Old","Ramp4","2005","Terminal",1528.066,0.04880934
"Mmult Old Ramp9 2005","Mmult Old","Ramp9","2005","Terminal",1661.924,0.04467228
"Mmult Young Sudden 2013","Mmult Young","Sudden","2013","Terminal",39.07817,1.805656
"Mmult Young Ramp4 2000","Mmult Young","Ramp4","2000","Terminal",600.6889,0.1750183
"Mmult Young Ramp9 1995","Mmult Young","Ramp9","1995","Terminal",784.9186,0.2311995
"Cmult Sudden 2010","Cmult","Sudden","2010","Target",11238.8949519611,1.22171057998411
"Cmult Ramp4 2013","Cmult","Ramp4","2013","Target",10816.7668992283,1.25467757352311
"Cmult Ramp9 2015","Cmult","Ramp9","2015","Target",11011.2777018592,1.27495234550575
"Mmult All Ages Sudden 2005","Mmult All Ages","Sudden","2005","Target",13781.8801808662,1.11876269081302
"Mmult All Ages Ramp4 2010","Mmult All Ages","Ramp4","2010","Target",12078.7915279174,0.998024694995108
"Mmult All Ages Ramp9 2000","Mmult All Ages","Ramp9","2000","Target",32493.6881050272,1.24374936557748
"Mmult Old Sudden 2000","Mmult Old","Sudden","2000","Target",18566.4395137529,1.0555942199851
"Mmult Old Ramp4 2005","Mmult Old","Ramp4","2005","Target",15711.8170316161,1.06000501637608
"Mmult Old Ramp9 2005","Mmult Old","Ramp9","2005","Target",18226.7934212351,1.05283275081008
"Mmult Young Sudden 2013","Mmult Young","Sudden","2013","Target",11941.9976684175,1.55015468285529
"Mmult Young Ramp4 2000","Mmult Young","Ramp4","2000","Target",88844.58848726,1.93060142584673
"Mmult Young Ramp9 1995","Mmult Young","Ramp9","1995","Target",632837.521688292,2.25868100612351
"Cmult Sudden 2010","Cmult","Sudden","2010","Ratio",0.167383093092416,0.324125866213871
"Cmult Ramp4 2013","Cmult","Ramp4","2013","Ratio",0.16285781291318,0.307991477774574
"Cmult Ramp9 2015","Cmult","Ramp9","2015","Ratio",0.172095287332553,0.315208644006676
"Mmult All Ages Sudden 2005","Mmult All Ages","Sudden","2005","Ratio",0.066325674581692,0.0732162599563215
"Mmult All Ages Ramp4 2010","Mmult All Ages","Ramp4","2010","Ratio",0.0718180041434633,0.0811656769679402
"Mmult All Ages Ramp9 2000","Mmult All Ages","Ramp9","2000","Ratio",0.0347037245004373,0.0601167020216198
"Mmult Old Sudden 2000","Mmult Old","Sudden","2000","Ratio",0.0901469556809865,0.0420942149537605
"Mmult Old Ramp4 2005","Mmult Old","Ramp4","2005","Ratio",0.0972558423335221,0.046046329258769
"Mmult Old Ramp9 2005","Mmult Old","Ramp9","2005","Ratio",0.0911802729965534,0.0424305569575299
"Mmult Young Sudden 2013","Mmult Young","Sudden","2013","Ratio",0.00327233106931083,1.16482311086149
"Mmult Young Ramp4 2000","Mmult Young","Ramp4","2000","Ratio",0.00676111972859367,0.0906548071791875
"Mmult Young Ramp9 1995","Mmult Young","Ramp9","1995","Ratio",0.00124031615240826,0.102360403869867
"Rose","Rose","Many","Many","Ratio",0.0804200362104265,0.2208528375018
"Rose","Rose","Many","Many","Target",73129.2047647861,1.33497886269962
"Rose","Rose","Many","Many","Terminal",1227.94898916667,0.3143142425
