"Scenario","Case","RampLab","ChangeYear","Metric","SSB","F"
"orig","orig","None","None","Terminal",5507.966,0.1580931
"orig.rhoadj","orig.rhoadj","None","None","Terminal",3542.43929309048,0.280744343442208
"orig","orig","None","None","Target",12717.3875019237,0.232433902010961
"orig.rhoadj","orig.rhoadj","None","None","Target",12717.3875019237,0.232433902010961
"orig","orig","None","None","Ratio",0.433105148299275,0.680163687965556
"orig.rhoadj","orig.rhoadj","None","None","Ratio",0.278550865305838,1.20784593389035
"Cmult Sudden 2000","Cmult","Sudden","2000","Terminal",13749.94,0.4292269
"Cmult Sudden 2005","Cmult","Sudden","2005","Terminal",7501.832,0.437121
"Cmult Sudden 2010","Cmult","Sudden","2010","Terminal",5389.67,0.4207612
"Cmult Ramp4 2000","Cmult","Ramp4","2000","Terminal",19009.07,0.4308491
"Cmult Ramp4 2005","Cmult","Ramp4","2005","Terminal",9438.71,0.4275041
"Cmult Ramp4 2010","Cmult","Ramp4","2010","Terminal",5883.05,0.4144643
"Cmult Ramp9 2005","Cmult","Ramp9","2005","Terminal",13064,0.4304279
"Cmult Ramp9 2010","Cmult","Ramp9","2010","Terminal",7200.435,0.4089549
"Mmult All Ages Sudden 1995","Mmult All Ages","Sudden","1995","Terminal",6467.879,0.2058698
"Mmult All Ages Sudden 2000","Mmult All Ages","Sudden","2000","Terminal",4820.825,0.2407826
"Mmult All Ages Sudden 2005","Mmult All Ages","Sudden","2005","Terminal",3847.895,0.2802415
"Mmult All Ages Sudden 2010","Mmult All Ages","Sudden","2010","Terminal",2870.514,0.3784888
"Mmult All Ages Ramp4 1995","Mmult All Ages","Ramp4","1995","Terminal",7738.781,0.1889546
"Mmult All Ages Ramp4 2000","Mmult All Ages","Ramp4","2000","Terminal",5335.648,0.2266802
"Mmult All Ages Ramp4 2005","Mmult All Ages","Ramp4","2005","Terminal",4171.646,0.2630622
"Mmult All Ages Ramp4 2010","Mmult All Ages","Ramp4","2010","Terminal",3389.191,0.3167887
"Mmult All Ages Ramp9 1995","Mmult All Ages","Ramp9","1995","Terminal",10965.87,0.1397474
"Mmult All Ages Ramp9 2000","Mmult All Ages","Ramp9","2000","Terminal",6159.738,0.2093596
"Mmult All Ages Ramp9 2005","Mmult All Ages","Ramp9","2005","Terminal",4614.042,0.2457953
"Mmult All Ages Ramp9 2010","Mmult All Ages","Ramp9","2010","Terminal",3741.793,0.290939
"Mmult Old Sudden 1995","Mmult Old","Sudden","1995","Terminal",11988.04,0.1662703
"Mmult Old Sudden 2000","Mmult Old","Sudden","2000","Terminal",8454.162,0.1827898
"Mmult Old Sudden 2005","Mmult Old","Sudden","2005","Terminal",5881.925,0.21225
"Mmult Old Sudden 2010","Mmult Old","Sudden","2010","Terminal",4754.368,0.2578937
"Mmult Old Ramp4 1995","Mmult Old","Ramp4","1995","Terminal",14659.02,0.1392134
"Mmult Old Ramp4 2000","Mmult Old","Ramp4","2000","Terminal",9697.728,0.1760645
"Mmult Old Ramp4 2005","Mmult Old","Ramp4","2005","Terminal",6800.039,0.199175
"Mmult Old Ramp4 2010","Mmult Old","Ramp4","2010","Terminal",5112.682,0.2385234
"Mmult Old Ramp9 1995","Mmult Old","Ramp9","1995","Terminal",25898.49,0.06754693
"Mmult Old Ramp9 2000","Mmult Old","Ramp9","2000","Terminal",11601.03,0.161001
"Mmult Old Ramp9 2005","Mmult Old","Ramp9","2005","Terminal",8013.134,0.185164
"Mmult Old Ramp9 2010","Mmult Old","Ramp9","2010","Terminal",5707.608,0.2197888
"Mmult Young Sudden 1995","Mmult Young","Sudden","1995","Terminal",3686.238,0.3236766
"Mmult Young Sudden 2000","Mmult Young","Sudden","2000","Terminal",3220.513,0.3307533
"Mmult Young Sudden 2005","Mmult Young","Sudden","2005","Terminal",2815.077,0.3546663
"Mmult Young Sudden 2010","Mmult Young","Sudden","2010","Terminal",814.7313,1.235312
"Mmult Young Ramp4 1995","Mmult Young","Ramp4","1995","Terminal",4072.464,0.3160845
"Mmult Young Ramp4 2000","Mmult Young","Ramp4","2000","Terminal",3321.126,0.332483
"Mmult Young Ramp4 2005","Mmult Young","Ramp4","2005","Terminal",3014.775,0.3387396
"Mmult Young Ramp4 2010","Mmult Young","Ramp4","2010","Terminal",1975.273,0.5058076
"Mmult Young Ramp9 1995","Mmult Young","Ramp9","1995","Terminal",4814.641,0.3013769
"Mmult Young Ramp9 2000","Mmult Young","Ramp9","2000","Terminal",3577.883,0.3240199
"Mmult Young Ramp9 2005","Mmult Young","Ramp9","2005","Terminal",3138.81,0.3347247
"Mmult Young Ramp9 2010","Mmult Young","Ramp9","2010","Terminal",2537.491,0.3974203
"Cmult Sudden 2000","Cmult","Sudden","2000","Target",46917.94474357,0.234310474387021
"Cmult Sudden 2005","Cmult","Sudden","2005","Target",21121.5864833005,0.236219755781575
"Cmult Sudden 2010","Cmult","Sudden","2010","Target",15377.2359520686,0.235292725668211
"Cmult Ramp4 2000","Cmult","Ramp4","2000","Target",71570.8742214142,0.234369718696844
"Cmult Ramp4 2005","Cmult","Ramp4","2005","Target",27576.7742849287,0.234846698574443
