"case","ramplab","change.year","Year","SSB","F","R"
"Mmult All Ages","Sudden",2000,1977,9419.483,0.5761458,6184.3
"Mmult All Ages","Sudden",2000,1978,13067.47,0.6546934,1444.083
"Mmult All Ages","Sudden",2000,1979,14525.01,0.5294227,6089.554
"Mmult All Ages","Sudden",2000,1980,13781.94,0.7365111,6655.508
"Mmult All Ages","Sudden",2000,1981,13493.62,0.643703,4427.88
"Mmult All Ages","Sudden",2000,1982,12979.03,0.7107306,895.1321
"Mmult All Ages","Sudden",2000,1983,9837.935,1.088378,2440.107
"Mmult All Ages","Sudden",2000,1984,6655.589,0.8864188,1036.033
"Mmult All Ages","Sudden",2000,1985,4852.284,1.101681,290.7731
"Mmult All Ages","Sudden",2000,1986,2752.204,1.541024,275.7052
"Mmult All Ages","Sudden",2000,1987,1461.786,0.9190593,140.6182
"Mmult All Ages","Sudden",2000,1988,1060.463,0.7424065,422.6046
"Mmult All Ages","Sudden",2000,1989,775.8855,0.6085991,203.5372
"Mmult All Ages","Sudden",2000,1990,796.7863,1.08229,258.4999
"Mmult All Ages","Sudden",2000,1991,677.2986,1.226065,262.7925
"Mmult All Ages","Sudden",2000,1992,614.6268,1.229733,654.7119
"Mmult All Ages","Sudden",2000,1993,625.9513,0.7636396,1173.123
"Mmult All Ages","Sudden",2000,1994,988.0193,0.4317586,2349.686
"Mmult All Ages","Sudden",2000,1995,1671.443,0.6928156,1905.766
"Mmult All Ages","Sudden",2000,1996,2530.942,0.3187205,740.2699
"Mmult All Ages","Sudden",2000,1997,3573.552,0.5786638,1295.976
"Mmult All Ages","Sudden",2000,1998,4012.667,0.4552733,1192.24
"Mmult All Ages","Sudden",2000,1999,3661.49,0.3149493,5963.487
"Mmult All Ages","Sudden",2000,2000,3917.208,0.5055326,1026.289
"Mmult All Ages","Sudden",2000,2001,6325.464,0.3607692,488.5428
"Mmult All Ages","Sudden",2000,2002,8154.418,0.3130926,573.2197
"Mmult All Ages","Sudden",2000,2003,7597.03,0.30756,123.2506
"Mmult All Ages","Sudden",2000,2004,7000.122,0.2792518,3290.75
"Mmult All Ages","Sudden",2000,2005,6348.763,0.4023471,223.8815
"Mmult All Ages","Sudden",2000,2006,6162.795,0.2719922,665.7485
"Mmult All Ages","Sudden",2000,2007,5804.333,0.5500439,797.2753
"Mmult All Ages","Sudden",2000,2008,5024.909,0.4892817,157.8253
"Mmult All Ages","Sudden",2000,2009,4540.886,0.435667,252.3112
"Mmult All Ages","Sudden",2000,2010,3944.297,0.4719911,794.7789
"Mmult All Ages","Sudden",2000,2011,3415.098,0.3776277,7754.027
"Mmult All Ages","Sudden",2000,2012,4062.68,0.5199169,2682.036
"Mmult All Ages","Sudden",2000,2013,6527.221,0.4473958,12091.89
"Mmult All Ages","Sudden",2000,2014,10670.63,0.3072273,73371.08
"Mmult All Ages","Sudden",2000,2015,24293.12,0.1618413,4513.653
"Mmult All Ages","Sudden",2000,2016,45974.99,0.1881189,4545.122
"Mmult All Ages","Sudden",2000,2017,59121.55,0.1592427,7984.771
"Mmult All Ages","Sudden",2000,2018,66143.47,0.08981515,2027.976
"Mmult All Ages","Sudden",2005,1977,9554.444,0.5635113,6429.899
"Mmult All Ages","Sudden",2005,1978,13361.21,0.6414054,1521.382
"Mmult All Ages","Sudden",2005,1979,14957.07,0.5190683,6397.561
"Mmult All Ages","Sudden",2005,1980,14260.11,0.7316146,7027.34
"Mmult All Ages","Sudden",2005,1981,14034.98,0.6351354,4681.882
"Mmult All Ages","Sudden",2005,1982,13579.28,0.7045435,950.0833
"Mmult All Ages","Sudden",2005,1983,10302.62,1.098981,2571.582
"Mmult All Ages","Sudden",2005,1984,6938.897,0.8804178,1083.904
"Mmult All Ages","Sudden",2005,1985,5068.477,1.100718,304.7919
"Mmult All Ages","Sudden",2005,1986,2852.289,1.574491,286.9967
"Mmult All Ages","Sudden",2005,1987,1487.335,0.9261384,146.2605
"Mmult All Ages","Sudden",2005,1988,1074.703,0.7533369,432.7915
"Mmult All Ages","Sudden",2005,1989,784.5756,0.6249465,210.598
"Mmult All Ages","Sudden",2005,1990,812.0486,1.122205,271.1866
"Mmult All Ages","Sudden",2005,1991,697.9287,1.268963,285.0407
"Mmult All Ages","Sudden",2005,1992,646.4568,1.24866,737.1558
"Mmult All Ages","Sudden",2005,1993,681.3117,0.7486186,1375.647
"Mmult All Ages","Sudden",2005,1994,1117.036,0.4078033,2916.781
"Mmult All Ages","Sudden",2005,1995,1974.575,0.627913,2532.114
"Mmult All Ages","Sudden",2005,1996,3140.417,0.2734751,1076.292
"Mmult All Ages","Sudden",2005,1997,4654.561,0.4676355,2096.831
"Mmult All Ages","Sudden",2005,1998,5630.88,0.3376837,2139.984
"Mmult All Ages","Sudden",2005,1999,5623.01,0.2120645,12008.79
