"case","ramplab","change.year","Year","SSB","F","R"
"Cmult","Sudden",2000,1982,23754.82,0.1978262,20090.32
"Cmult","Sudden",2000,1983,20999.25,0.2808656,9443.252
"Cmult","Sudden",2000,1984,18601.16,0.3477453,5311.891
"Cmult","Sudden",2000,1985,17189.2,0.3992753,4006.514
"Cmult","Sudden",2000,1986,15243.57,0.3821811,16810.98
"Cmult","Sudden",2000,1987,13307.95,0.3383621,11194.22
"Cmult","Sudden",2000,1988,10928.87,0.4059409,11177.26
"Cmult","Sudden",2000,1989,8333.221,0.3302977,18587.62
"Cmult","Sudden",2000,1990,7219.59,0.2307428,22773.62
"Cmult","Sudden",2000,1991,6685.992,0.3804211,21791.2
"Cmult","Sudden",2000,1992,5911.038,0.4084297,34319.16
"Cmult","Sudden",2000,1993,5567.468,0.6433057,63300.48
"Cmult","Sudden",2000,1994,5243.597,0.7552214,70444.61
"Cmult","Sudden",2000,1995,6389.118,0.5588113,58239.58
"Cmult","Sudden",2000,1996,8393.988,0.3496239,91067.64
"Cmult","Sudden",2000,1997,11672.1,0.2194896,122857.6
"Cmult","Sudden",2000,1998,18126.11,0.1457977,126446.6
"Cmult","Sudden",2000,1999,25640.26,0.09561043,117812.5
"Cmult","Sudden",2000,2000,31277.3,0.5074584,79340.57
"Cmult","Sudden",2000,2001,29866.75,0.595336,51617.12
"Cmult","Sudden",2000,2002,31128.38,0.5680572,25679.37
"Cmult","Sudden",2000,2003,29136.9,0.7324378,21150.95
"Cmult","Sudden",2000,2004,23976.64,0.8306847,27817.78
"Cmult","Sudden",2000,2005,20212.17,1.110315,61639.88
"Cmult","Sudden",2000,2006,13658.79,0.9802769,35462.43
"Cmult","Sudden",2000,2007,11642.74,0.6440538,25948.07
"Cmult","Sudden",2000,2008,11667.13,0.6684802,22698.6
"Cmult","Sudden",2000,2009,12675.67,0.8182794,38783.69
"Cmult","Sudden",2000,2010,12290.93,0.8047658,47106.89
"Cmult","Sudden",2000,2011,12149.34,0.8566853,24215.22
"Cmult","Sudden",2000,2012,11195.88,1.064559,41930.42
"Cmult","Sudden",2000,2013,10308.86,0.7880525,54917.78
"Cmult","Sudden",2000,2014,11678.29,0.5772824,141768.8
"Cmult","Sudden",2000,2015,13749.94,0.4292269,27339.47
"Cmult","Sudden",2005,1982,22861.18,0.2069361,17123.74
"Cmult","Sudden",2005,1983,19905.25,0.2957582,7957.045
"Cmult","Sudden",2005,1984,17248.75,0.3607761,4413.344
"Cmult","Sudden",2005,1985,15620.89,0.4016928,3305.295
"Cmult","Sudden",2005,1986,13687.9,0.3813668,14087.74
"Cmult","Sudden",2005,1987,11826.07,0.343086,9239.738
"Cmult","Sudden",2005,1988,9599.86,0.411613,9013.731
"Cmult","Sudden",2005,1989,7223.745,0.3495707,14469.51
"Cmult","Sudden",2005,1990,6107.959,0.2581655,16243.3
"Cmult","Sudden",2005,1991,5470.504,0.4203226,13700.81
"Cmult","Sudden",2005,1992,4623.908,0.4717797,18448.27
"Cmult","Sudden",2005,1993,4067.597,0.8043201,28639.24
"Cmult","Sudden",2005,1994,3458.675,1.062459,26701.22
"Cmult","Sudden",2005,1995,3686.58,0.9721259,19185.73
"Cmult","Sudden",2005,1996,4025.857,0.7761432,27588.18
"Cmult","Sudden",2005,1997,4620.979,0.6335941,36993.53
"Cmult","Sudden",2005,1998,6016.345,0.5168101,41509.59
"Cmult","Sudden",2005,1999,7246.763,0.38454,44978.09
"Cmult","Sudden",2005,2000,8154.571,0.3826598,34830.64
"Cmult","Sudden",2005,2001,8980.886,0.4150173,25464.08
"Cmult","Sudden",2005,2002,10765.84,0.3353167,13405.52
"Cmult","Sudden",2005,2003,11898.69,0.3523309,11307.24
"Cmult","Sudden",2005,2004,12706.82,0.2665022,15094.61
"Cmult","Sudden",2005,2005,13674.32,1.16315,33608.2
"Cmult","Sudden",2005,2006,8242.328,0.9626745,19318.33
"Cmult","Sudden",2005,2007,6695.967,0.6292295,14145.18
"Cmult","Sudden",2005,2008,6549.475,0.6594691,12367.3
"Cmult","Sudden",2005,2009,7020.656,0.8125546,21115.54
"Cmult","Sudden",2005,2010,6797.757,0.8013464,25494.05
"Cmult","Sudden",2005,2011,6720.143,0.8559964,13058.3
"Cmult","Sudden",2005,2012,6196.067,1.062913,22496.68
"Cmult","Sudden",2005,2013,5684.309,0.7901956,29277.46
"Cmult","Sudden",2005,2014,6407.282,0.5821095,74732.1
"Cmult","Sudden",2005,2015,7501.832,0.437121,14588.43
"Cmult","Sudden",2010,1982,22073.24,0.2151469,15902.42
"Cmult","Sudden",2010,1983,19027.39,0.3084921,7371.585
"Cmult","Sudden",2010,1984,16280.76,0.3731516,4076.14
"Cmult","Sudden",2010,1985,14597.17,0.4095354,3058.845
"Cmult","Sudden",2010,1986,12725.46,0.3869171,13248.25
"Cmult","Sudden",2010,1987,10958.2,0.3494193,8698.273
"Cmult","Sudden",2010,1988,8856.724,0.4179741,8476.112
"Cmult","Sudden",2010,1989,6633.748,0.3609388,13663.43
"Cmult","Sudden",2010,1990,5566.557,0.2722804,15249.91
"Cmult","Sudden",2010,1991,4953.75,0.4350934,12680.54
"Cmult","Sudden",2010,1992,4191.103,0.485469,16765.3
"Cmult","Sudden",2010,1993,3696.042,0.8054583,25484.29
"Cmult","Sudden",2010,1994,3159.748,1.047256,23122.76
"Cmult","Sudden",2010,1995,3353.916,0.9657869,16034.94
"Cmult","Sudden",2010,1996,3596.724,0.7935411,21990.32
"Cmult","Sudden",2010,1997,4018.647,0.6741672,27666.87
"Cmult","Sudden",2010,1998,5056.808,0.5741107,28046.94
"Cmult","Sudden",2010,1999,5845.771,0.4459578,26264.09
"Cmult","Sudden",2010,2000,6264.507,0.4656144,18183.03
"Cmult","Sudden",2010,2001,6443.007,0.546117,12334.49
"Cmult","Sudden",2010,2002,6983.715,0.5075054,6515.531
"Cmult","Sudden",2010,2003,6736.841,0.6886812,5882.247
"Cmult","Sudden",2010,2004,5608.32,0.8116176,8537.852
"Cmult","Sudden",2010,2005,4755.365,1.053877,20502.22
"Cmult","Sudden",2010,2006,3343.378,0.832827,12537.17
"Cmult","Sudden",2010,2007,3153.4,0.4503205,9554.764
"Cmult","Sudden",2010,2008,3624.284,0.4055043,8541.225
"Cmult","Sudden",2010,2009,4581.966,0.3973085,14823.39
"Cmult","Sudden",2010,2010,5005.118,0.7655582,18188.15
"Cmult","Sudden",2010,2011,4803.537,0.8299905,9414.711
"Cmult","Sudden",2010,2012,4365.571,1.043952,16283.8
"Cmult","Sudden",2010,2013,4017.998,0.7796158,21158.79
"Cmult","Sudden",2010,2014,4571.368,0.5706248,53064.46
"Cmult","Sudden",2010,2015,5389.67,0.4207612,10484.57
"Cmult","Ramp4",2000,1982,24621.3,0.1894862,22307.45
"Cmult","Ramp4",2000,1983,21997.11,0.2669248,10650.48
"Cmult","Ramp4",2000,1984,19795.79,0.3300839,6111.17
"Cmult","Ramp4",2000,1985,18630.06,0.3796249,4694.659
"Cmult","Ramp4",2000,1986,16851.26,0.3579818,19992.8
"Cmult","Ramp4",2000,1987,15066.77,0.307868,13729.17
"Cmult","Ramp4",2000,1988,12768.02,0.3583864,14338.9
"Cmult","Ramp4",2000,1989,10186.58,0.2742062,25819.22
"Cmult","Ramp4",2000,1990,9267.698,0.1808894,35691.57
"Cmult","Ramp4",2000,1991,8989.373,0.2862715,38056.69
"Cmult","Ramp4",2000,1992,8559.38,0.2812307,64300.45
"Cmult","Ramp4",2000,1993,9022.81,0.3828207,118878.3
"Cmult","Ramp4",2000,1994,9783.897,0.3799903,124623.7
"Cmult","Ramp4",2000,1995,13510.74,0.2388034,95198.88
"Cmult","Ramp4",2000,1996,18853.96,0.3660649,138007.8
